Season,Rank,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP (Per Game),PTS (Per Game),TRB (Per Game),AST (Per Game),STL (Per Game),BLK (Per Game)
2015-2016,6,Devin Booker,"Oct 28, '15, PHO vs. DAL",19,10,622,21242,5290,11418,1306,3662,3250,3727,376,2503,3148,537,183,1871,1831,15136,.463,.357,.872,34.2,24.3,4.0,5.1,0.9,0.3
2015-2016,7,Anthony Brown,"Oct 30, '15, LAL @ SAC",23,3,41,762,58,177,28,98,17,20,17,103,28,19,6,21,49,161,.328,.286,.850,18.6,3.9,2.5,0.7,0.5,0.1
2015-2016,8,Willie Cauley-Stein,"Oct 28, '15, SAC vs. LAC",22,7,422,9276,1552,2853,6,32,565,923,694,2470,598,350,335,384,974,3675,.544,.188,.612,22.0,8.7,5.9,1.4,0.8,0.8
2015-2016,9,Rakeem Christmas,"Apr 13, '16, IND @ MIL",24,2,30,225,21,45,0,0,21,29,27,57,4,3,6,8,38,63,.467,,.724,7.5,2.1,1.9,0.1,0.1,0.2
2015-2016,10,Coty Clarke,"Mar 15, '16, BOS @ IND",23,1,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,.500,1.000,,2.0,2.0,0.3,0.0,0.0,0.0
2015-2016,11,Pat Connaughton,"Oct 30, '15, POR @ PHO",23,10,569,11091,1252,2883,668,1876,265,343,395,1959,785,277,153,316,672,3437,.434,.356,.773,19.5,6.0,3.4,1.4,0.5,0.3
2015-2016,12,Branden Dawson,"Dec 28, '15, LAC @ WAS",22,1,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,.400,,1.000,4.8,0.8,0.7,0.0,0.0,0.2
2015-2016,13,Bryce Dejean-Jones,"Jan 21, '16, NOP vs. DET",23,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,.406,.375,.524,19.9,5.6,3.4,1.1,0.7,0.1
2015-2016,14,Sam Dekker,"Oct 28, '15, HOU vs. DEN",21,5,201,3097,451,944,89,309,103,170,191,607,160,101,37,98,201,1094,.478,.288,.606,15.4,5.4,3.0,0.8,0.5,0.2
2015-2016,15,Duje Dukan,"Apr 13, '16, SAC @ HOU",24,1,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,.200,.400,,24.0,6.0,4.0,1.0,1.0,0.0
2015-2016,16,Jarell Eddie,"Dec 26, '15, WAS @ BRK",24,3,34,218,26,86,19,65,16,17,3,31,5,7,1,2,6,87,.302,.292,.941,6.4,2.6,0.9,0.1,0.2,0.0
2015-2016,17,Cristiano Felício,"Nov 9, '15, CHI @ PHI",23,6,252,3554,431,754,0,14,216,321,381,992,183,72,50,155,358,1078,.572,.000,.673,14.1,4.3,3.9,0.7,0.3,0.2
2015-2016,18,Jerian Grant,"Oct 28, '15, NYK @ MIL",23,5,279,4998,593,1442,174,539,332,431,92,530,805,205,33,274,411,1692,.411,.323,.770,17.9,6.1,1.9,2.9,0.7,0.1
2015-2016,19,Montrezl Harrell,"Oct 28, '15, HOU vs. DEN",22,8,515,10545,2506,4050,9,83,1199,1807,930,2588,675,269,404,550,1058,6220,.619,.108,.664,20.5,12.1,5.0,1.3,0.5,0.8
2015-2016,20,Aaron Harrison,"Nov 20, '15, CHO vs. PHI",21,3,35,343,24,92,12,55,19,31,8,42,16,15,2,7,39,79,.261,.218,.613,9.8,2.3,1.2,0.5,0.4,0.1
2015-2016,21,Mario Hezonja,"Oct 28, '15, ORL vs. WAS",20,5,330,6107,854,2047,266,833,310,382,147,1026,415,243,80,371,549,2284,.417,.319,.812,18.5,6.9,3.1,1.3,0.7,0.2
2015-2016,22,Darrun Hilliard,"Nov 23, '15, DET @ MIL",22,3,91,859,104,276,31,102,56,75,7,85,71,22,3,51,74,295,.377,.304,.747,9.4,3.2,0.9,0.8,0.2,0.0
2015-2016,23,Rondae Hollis-Jefferson,"Oct 28, '15, BRK vs. CHI",21,6,305,6759,1004,2238,44,208,708,963,440,1684,579,278,162,392,620,2760,.449,.212,.735,22.2,9.0,5.5,1.9,0.9,0.5
2015-2016,24,Richaun Holmes,"Oct 28, '15, PHI @ BOS",22,10,461,8846,1630,2705,49,180,637,854,794,2434,437,234,428,387,1154,3946,.603,.272,.746,19.2,8.6,5.3,0.9,0.5,0.9
2015-2016,25,Marcelo Huertas,"Oct 28, '15, LAL vs. MIN",32,2,76,1106,122,298,20,80,36,46,20,114,234,36,9,99,92,300,.409,.250,.783,14.6,3.9,1.5,3.1,0.5,0.1
2015-2016,26,Josh Huestis,"Mar 24, '16, OKC vs. UTA",24,3,76,1068,71,205,39,125,6,25,48,180,23,16,48,29,85,187,.346,.312,.240,14.1,2.5,2.4,0.3,0.2,0.6
2015-2016,27,R.J. Hunter,"Nov 4, '15, BOS @ IND",22,4,45,395,49,132,26,88,9,11,3,46,19,18,4,13,39,133,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,0.1
2015-2016,28,Damien Inglis,"Oct 28, '15, MIL vs. NYK",20,1,20,156,13,37,3,13,7,8,2,31,10,6,3,11,11,36,.351,.231,.875,7.8,1.8,1.6,0.5,0.3,0.2
2015-2016,29,Stanley Johnson,"Oct 27, '15, DET @ ATL",19,8,449,8879,1028,2630,340,1114,410,548,253,1404,679,383,106,480,871,2806,.391,.305,.748,19.8,6.2,3.1,1.5,0.9,0.2
2015-2016,30,Nikola Jokić,"Oct 28, '15, DEN @ HOU",20,10,695,21822,5689,10202,720,2019,2670,3233,1860,7514,4862,858,505,2022,1876,14768,.558,.357,.826,31.4,21.2,10.8,7.0,1.2,0.7
2015-2016,31,Tyus Jones,"Nov 10, '15, MIN vs. CHO",19,10,625,13024,1840,4117,583,1565,457,561,165,1240,2761,625,59,490,483,4720,.447,.373,.815,20.8,7.6,2.0,4.4,1.0,0.1
2015-2016,32,Frank Kaminsky,"Oct 28, '15, CHO @ MIA",22,8,413,8160,1306,3034,428,1226,590,791,300,1579,651,174,146,314,609,3630,.430,.349,.746,19.8,8.8,3.8,1.6,0.4,0.4
2015-2016,33,Sasha Kaun,"Oct 28, '15, CLE @ MEM",30,1,25,95,9,17,0,0,5,11,12,26,3,4,5,7,11,23,.529,,.455,3.8,0.9,1.0,0.1,0.2,0.2
2015-2016,34,Kevon Looney,"Jan 27, '16, GSW vs. DAL",19,10,545,9527,1166,2007,10,60,410,676,1173,3102,875,276,291,326,1203,2752,.581,.167,.607,17.5,5.0,5.7,1.6,0.5,0.5
2015-2016,35,Trey Lyles,"Oct 28, '15, UTA @ DET",20,10,599,10975,1648,3735,587,1692,699,939,519,2581,632,229,217,488,857,4582,.441,.347,.744,18.3,7.6,4.3,1.1,0.4,0.4
2015-2016,36,Boban Marjanović,"Oct 30, '15, SAS vs. BRK",27,9,331,2882,700,1211,10,42,425,558,402,1189,154,60,96,210,344,1835,.578,.238,.762,8.7,5.5,3.6,0.5,0.2,0.3
2015-2016,37,Jarell Martin,"Dec 18, '15, MEM @ DAL",21,4,184,2927,376,867,63,182,183,239,189,639,114,67,73,144,411,998,.434,.346,.766,15.9,5.4,3.5,0.6,0.4,0.4
2015-2016,38,T.J. McConnell,"Oct 28, '15, PHI @ BOS",23,10,652,14005,2215,4269,160,462,373,477,355,1924,3292,800,120,1057,929,4963,.519,.346,.782,21.5,7.6,3.0,5.0,1.2,0.2
2015-2016,39,Chris McCullough,"Feb 8, '16, BRK vs. DEN",20,3,59,532,78,183,15,49,23,42,41,112,15,30,19,20,54,194,.426,.306,.548,9.0,3.3,1.9,0.3,0.5,0.3
2015-2016,40,Jordan McRae,"Jan 29, '16, PHO @ NYK",24,4,123,1696,302,724,83,234,159,206,34,225,167,45,30,87,147,846,.417,.355,.772,13.8,6.9,1.8,1.4,0.4,0.2
2015-2016,41,Salah Mejri,"Oct 28, '15, DAL @ PHO",29,4,204,2430,280,464,12,41,121,205,259,808,94,72,190,123,382,693,.603,.293,.590,11.9,3.4,4.0,0.5,0.4,0.9
2015-2016,42,Jordan Mickey,"Oct 28, '15, BOS vs. PHI",21,3,64,482,62,138,2,17,26,43,37,128,17,9,27,28,53,152,.449,.118,.605,7.5,2.4,2.0,0.3,0.1,0.4
2015-2016,43,Luis Montero,"Oct 30, '15, POR @ PHO",22,2,14,50,5,20,1,9,3,4,0,6,1,0,0,6,1,14,.250,.111,.750,3.6,1.0,0.4,0.1,0.0,0.0
2015-2016,44,Emmanuel Mudiay,"Oct 28, '15, DEN @ HOU",19,6,302,7187,1222,3051,276,855,579,778,138,884,1143,215,88,670,492,3299,.401,.323,.744,23.8,10.9,2.9,3.8,0.7,0.3
2015-2016,45,Xavier Munford,"Mar 17, '16, MEM @ MIL",23,2,20,265,33,83,9,25,8,16,4,32,26,14,3,17,29,83,.398,.360,.500,13.3,4.2,1.6,1.3,0.7,0.2
2015-2016,46,Larry Nance Jr.,"Nov 6, '15, LAL @ BRK",23,10,532,12289,1681,3103,223,635,503,722,992,3264,993,610,258,492,1128,4088,.542,.351,.697,23.1,7.7,6.1,1.9,1.1,0.5
2015-2016,47,Raul Neto,"Oct 28, '15, UTA @ DET",23,8,435,6765,935,2041,258,714,342,421,96,658,913,279,34,398,569,2470,.458,.361,.812,15.6,5.7,1.5,2.1,0.6,0.1
2015-2016,48,J.J. O'Brien,"Jan 16, '16, UTA vs. LAL",23,1,2,6,0,1,0,0,0,0,0,1,0,1,0,0,1,0,.000,,,3.0,0.0,0.5,0.0,0.5,0.0
2015-2016,49,Jahlil Okafor,"Oct 28, '15, PHI @ BOS",20,6,247,4827,1092,2016,6,27,376,556,377,1169,225,73,195,347,515,2566,.542,.222,.676,19.5,10.4,4.7,0.9,0.3,0.8
2015-2016,50,Kelly Oubre Jr.,"Oct 30, '15, WAS @ MIL",20,10,618,16389,2924,6720,942,2883,1295,1725,640,2794,672,622,307,678,1617,8085,.435,.327,.751,26.5,13.1,4.5,1.1,1.0,0.5
2015-2016,51,Lamar Patterson,"Oct 27, '15, ATL vs. DET",24,2,40,435,31,95,13,55,18,25,5,57,45,10,2,27,51,93,.326,.236,.720,10.9,2.3,1.4,1.1,0.3,0.1
2015-2016,52,Cameron Payne,"Nov 1, '15, OKC vs. DEN",21,10,424,7598,1277,3021,486,1306,316,383,126,882,1383,275,89,485,731,3356,.423,.372,.825,17.9,7.9,2.1,3.3,0.6,0.2
2015-2016,53,Tibor Pleiß,"Oct 30, '15, UTA @ PHI",26,1,12,82,11,25,0,2,2,2,6,15,2,1,2,8,19,24,.440,.000,1.000,6.8,2.0,1.3,0.2,0.1,0.2
2015-2016,54,Bobby Portis,"Nov 3, '15, CHI @ CHO",20,10,629,14241,3021,6305,701,1826,709,935,1189,4458,786,373,236,687,1208,7452,.479,.384,.758,22.6,11.8,7.1,1.2,0.6,0.4
2015-2016,55,Kristaps Porziņģis,"Oct 28, '15, NYK @ MIL",20,9,465,14369,3218,7004,861,2389,1846,2223,810,3651,837,340,855,787,1392,9143,.459,.360,.830,30.9,19.7,7.9,1.8,0.7,1.8
2015-2016,56,Norman Powell,"Nov 1, '15, TOR vs. MIL",22,10,576,13596,2545,5419,952,2383,1249,1509,205,1515,865,454,156,704,1065,7291,.470,.399,.828,23.6,12.7,2.6,1.5,0.8,0.3
2015-2016,57,Willie Reed,"Dec 4, '15, BRK @ NYK",25,3,152,1885,319,539,2,6,111,198,213,575,46,33,99,66,240,751,.592,.333,.561,12.4,4.9,3.8,0.3,0.2,0.7
2015-2016,58,Josh Richardson,"Nov 5, '15, MIA @ MIN",22,10,554,15815,2327,5433,873,2405,854,1009,378,1685,1463,566,297,732,1230,6381,.428,.363,.846,28.5,11.5,3.0,2.6,1.0,0.5
2015-2016,59,Terry Rozier,"Oct 28, '15, BOS vs. PHI",21,10,622,17296,3202,7629,1305,3560,1111,1341,413,2453,2232,591,158,851,930,8820,.420,.367,.828,27.8,14.2,3.9,3.6,1.0,0.3
2015-2016,60,D'Angelo Russell,"Oct 28, '15, LAL vs. MIN",19,10,595,17914,3767,8774,1510,4102,1394,1755,289,2019,3408,631,187,1581,1132,10438,.429,.368,.794,30.1,17.5,3.4,5.7,1.1,0.3
2015-2016,61,Jonathon Simmons,"Nov 14, '15, SAS vs. PHI",26,4,258,5298,786,1774,145,457,425,562,124,621,483,158,61,343,513,2142,.443,.317,.756,20.5,8.3,2.4,1.9,0.6,0.2
2015-2016,62,Alex Stepheson,"Feb 20, '16, LAC vs. GSW",28,1,8,73,9,27,0,0,4,12,19,28,2,1,5,0,12,22,.333,,.333,9.1,2.8,3.5,0.3,0.1,0.6
2015-2016,63,Edy Tavares,"Oct 29, '15, ATL @ NYK",23,2,13,101,15,24,0,0,3,11,11,32,4,1,12,7,11,33,.625,,.273,7.8,2.5,2.5,0.3,0.1,0.9
2015-2016,64,Axel Toupane,"Mar 4, '16, DEN vs. BRK",23,3,33,413,34,90,15,46,18,24,8,38,19,10,10,6,52,101,.378,.326,.750,12.5,3.1,1.2,0.6,0.3,0.3
2015-2016,65,Karl-Anthony Towns,"Oct 28, '15, MIN @ LAL",20,10,596,20236,5024,9593,1028,2572,2617,3121,1657,6528,1889,473,745,1608,2027,13693,.524,.400,.839,34.0,23.0,11.0,3.2,0.8,1.3
2015-2016,66,Myles Turner,"Oct 29, '15, IND vs. MEM",19,10,594,17039,3076,6148,649,1814,1468,1909,845,4047,741,405,1316,847,1773,8269,.500,.358,.769,28.7,13.9,6.8,1.2,0.7,2.2
2015-2016,67,Rashad Vaughn,"Oct 28, '15, MIL vs. NYK",19,3,139,1671,161,478,83,265,18,26,18,158,75,53,29,48,120,423,.337,.313,.692,12.0,3.0,1.1,0.5,0.4,0.2
2015-2016,68,Briante Weber,"Mar 11, '16, MEM vs. NOP",23,3,45,611,58,142,5,26,22,30,24,86,64,39,9,32,56,143,.408,.192,.733,13.6,3.2,1.9,1.4,0.9,0.2
2015-2016,69,Alan Williams,"Mar 17, '16, PHO @ UTA",23,4,67,872,163,322,0,2,87,139,115,371,39,37,38,51,155,413,.506,.000,.626,13.0,6.2,5.5,0.6,0.6,0.6
2015-2016,70,Justise Winslow,"Oct 28, '15, MIA vs. CHO",19,8,344,8905,1121,2718,229,728,358,561,364,1760,889,307,137,500,794,2829,.412,.315,.638,25.9,8.2,5.1,2.6,0.9,0.4
2015-2016,71,Christian Wood,"Oct 28, '15, PHI @ BOS",20,8,339,7858,1671,3252,415,1117,860,1239,460,2366,469,183,295,487,637,4617,.514,.372,.694,23.2,13.6,7.0,1.4,0.5,0.9
2015-2016,72,Delon Wright,"Nov 1, '15, TOR vs. MIL",23,10,526,10827,1309,2916,351,998,610,761,410,1617,1588,633,182,463,548,3579,.449,.352,.802,20.6,6.8,3.1,3.0,1.2,0.3
2015-2016,73,Joe Young,"Oct 28, '15, IND @ TOR",23,3,127,1077,168,427,40,135,53,69,19,130,119,33,1,64,74,429,.393,.296,.768,8.5,3.4,1.0,0.9,0.3,0.0
2016-2017,1,Álex Abrines,"Oct 26, '16, OKC @ PHI",23,3,174,2777,305,789,219,595,95,108,49,248,88,92,22,72,291,924,.387,.368,.880,16.0,5.3,1.4,0.5,0.5,0.1
2016-2017,2,Ron Baker,"Oct 25, '16, NYK @ CLE",23,3,96,1394,106,296,35,132,53,75,18,139,169,66,15,79,125,300,.358,.265,.707,14.5,3.1,1.4,1.8,0.7,0.2
2016-2017,3,Wade Baldwin,"Oct 26, '16, MEM vs. MIN",20,3,56,579,60,169,9,36,45,58,14,69,78,21,10,57,63,174,.355,.250,.776,10.3,3.1,1.2,1.4,0.4,0.2
2016-2017,4,Malik Beasley,"Nov 5, '16, DEN @ DET",20,9,522,12183,2111,4961,1226,3175,358,451,218,1479,699,333,63,419,688,5806,.426,.386,.794,23.3,11.1,2.8,1.3,0.6,0.1
2016-2017,5,DeAndre' Bembry,"Oct 27, '16, ATL vs. WAS",22,6,296,5670,720,1519,106,375,204,334,185,950,533,291,120,367,533,1750,.474,.283,.611,19.2,5.9,3.2,1.8,1.0,0.4
2016-2017,6,Dragan Bender,"Oct 26, '16, PHO vs. SAC",19,4,187,3755,373,934,183,567,85,130,113,720,237,54,106,202,372,1014,.399,.323,.654,20.1,5.4,3.9,1.3,0.3,0.6
2016-2017,7,Ben Bentil,"Mar 1, '17, DAL @ ATL",21,1,3,10,0,3,0,1,0,0,0,2,0,0,0,1,1,0,.000,.000,,3.3,0.0,0.7,0.0,0.0,0.0
2016-2017,8,Dāvis Bertāns,"Oct 25, '16, SAS @ GSW",24,8,475,8546,1186,2810,885,2234,404,468,147,1159,448,205,167,250,770,3661,.422,.396,.863,18.0,7.7,2.4,0.9,0.4,0.4
2016-2017,9,Joel Bolomboy,"Oct 30, '16, UTA @ LAC",23,2,18,91,12,22,1,5,6,12,10,27,2,3,2,4,4,31,.545,.200,.500,5.1,1.7,1.5,0.1,0.2,0.1
2016-2017,10,Malcolm Brogdon,"Oct 26, '16, MIL vs. CHO",24,9,448,13131,2542,5472,743,1905,1069,1225,351,1865,2081,361,106,765,835,6896,.465,.390,.873,29.3,15.4,4.2,4.6,0.8,0.2
2016-2017,11,Jaylen Brown,"Oct 26, '16, BOS vs. BRK",20,9,560,17023,3951,8255,1078,2973,1547,2141,553,2963,1396,561,216,1168,1416,10527,.479,.363,.723,30.4,18.8,5.3,2.5,1.0,0.4
2016-2017,12,Nicolás Brussino,"Oct 26, '16, DAL @ IND",23,2,58,531,52,143,29,97,17,22,26,98,47,17,8,26,43,150,.364,.299,.773,9.2,2.6,1.7,0.8,0.3,0.1
2016-2017,13,Marquese Chriss,"Oct 26, '16, PHO vs. SAC",19,6,292,5338,830,1822,161,555,385,577,362,1366,298,187,227,348,738,2206,.456,.290,.667,18.3,7.6,4.7,1.0,0.6,0.8
2016-2017,14,Semaj Christon,"Oct 26, '16, OKC @ PHI",24,1,64,973,77,223,12,63,17,31,19,87,130,28,7,43,79,183,.345,.190,.548,15.2,2.9,1.4,2.0,0.4,0.1
2016-2017,15,Quinn Cook,"Feb 27, '17, DAL vs. MIA",23,5,188,2652,479,1039,180,441,62,78,46,314,298,52,7,135,201,1200,.461,.408,.795,14.1,6.4,1.7,1.6,0.3,0.0
2016-2017,16,Deyonta Davis,"Oct 26, '16, MEM vs. MIN",20,3,107,1299,200,334,0,1,54,85,105,346,47,21,61,43,177,454,.599,.000,.635,12.1,4.2,3.2,0.4,0.2,0.6
2016-2017,17,Malcolm Delaney,"Oct 27, '16, ATL vs. WAS",27,2,127,2262,254,673,72,234,149,185,19,223,356,74,7,161,194,729,.377,.308,.805,17.8,5.7,1.8,2.8,0.6,0.1
2016-2017,18,Cheick Diallo,"Oct 29, '16, NOP @ SAS",20,5,183,2186,401,673,2,7,154,199,179,759,78,56,73,117,273,958,.596,.286,.774,11.9,5.2,4.1,0.4,0.3,0.4
2016-2017,19,Kris Dunn,"Oct 26, '16, MIN @ MEM",22,9,359,8300,1150,2631,211,654,303,413,177,1199,1473,514,151,587,985,2814,.437,.323,.734,23.1,7.8,3.3,4.1,1.4,0.4
2016-2017,20,Henry Ellenson,"Oct 26, '16, DET @ TOR",20,5,83,787,121,326,49,146,51,66,28,206,49,13,3,41,63,342,.371,.336,.773,9.5,4.1,2.5,0.6,0.2,0.0
2016-2017,21,Joel Embiid,"Oct 26, '16, PHI vs. OKC",22,9,439,14009,4016,7992,513,1516,3648,4411,981,4878,1596,399,726,1505,1342,12193,.503,.338,.827,31.9,27.8,11.1,3.6,0.9,1.7
2016-2017,22,Kay Felder,"Oct 29, '16, CLE vs. ORL",21,2,58,526,83,228,11,41,46,61,6,59,78,21,8,46,49,223,.364,.268,.754,9.1,3.8,1.0,1.3,0.4,0.1
2016-2017,23,Yogi Ferrell,"Nov 9, '16, BRK @ NYK",23,5,259,5212,723,1721,289,791,259,310,70,537,601,167,29,219,356,1994,.420,.365,.835,20.1,7.7,2.1,2.3,0.6,0.1
2016-2017,24,Dorian Finney-Smith,"Oct 26, '16, DAL @ IND",23,9,545,15199,1663,3811,834,2322,388,539,831,2498,790,444,252,474,1198,4548,.436,.359,.720,27.9,8.3,4.6,1.4,0.8,0.5
2016-2017,25,Bryn Forbes,"Oct 25, '16, SAS @ GSW",23,7,431,8582,1359,3119,720,1757,338,409,69,718,523,163,14,297,594,3776,.436,.410,.826,19.9,8.8,1.7,1.2,0.4,0.0
2016-2017,26,Patricio Garino,"Apr 4, '17, ORL @ CLE",23,1,5,43,0,7,0,5,0,0,1,7,0,0,0,3,4,0,.000,.000,,8.6,0.0,1.4,0.0,0.0,0.0
2016-2017,27,Michael Gbinije,"Oct 26, '16, DET @ TOR",24,1,9,32,1,10,0,4,2,2,2,3,2,0,0,0,2,4,.100,.000,1.000,3.6,0.4,0.3,0.2,0.0,0.0
2016-2017,28,Marcus Georges-Hunt,"Apr 4, '17, ORL @ CLE",22,2,47,272,23,55,5,17,22,31,8,25,10,7,0,5,37,73,.418,.294,.710,5.8,1.6,0.5,0.2,0.1,0.0
2016-2017,29,Jonathan Gibson,"Nov 18, '16, DAL vs. MEM",29,2,21,271,49,118,21,57,21,29,1,25,30,8,0,24,26,140,.415,.368,.724,12.9,6.7,1.2,1.4,0.4,0.0
2016-2017,30,Treveon Graham,"Nov 2, '16, CHO vs. PHI",23,4,180,2883,266,694,120,360,105,152,121,400,144,76,16,76,297,757,.383,.333,.691,16.0,4.2,2.2,0.8,0.4,0.1
2016-2017,31,A.J. Hammons,"Oct 28, '16, DAL vs. HOU",24,1,22,163,17,42,5,10,9,20,8,36,4,1,13,10,21,48,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,0.6
2016-2017,32,Andrew Harrison,"Oct 26, '16, MEM vs. MIN",22,3,145,2987,314,842,95,323,289,371,52,287,399,95,49,178,366,1012,.373,.294,.779,20.6,7.0,2.0,2.8,0.7,0.3
2016-2017,33,Juancho Hernangómez,"Oct 26, '16, DEN @ NOP",21,7,339,5269,590,1379,266,777,265,392,268,1131,216,131,71,167,365,1711,.428,.342,.676,15.5,5.0,3.3,0.6,0.4,0.2
2016-2017,34,Willy Hernangómez,"Oct 25, '16, NYK @ CLE",22,7,344,5149,974,1827,37,121,539,756,709,1982,364,145,134,347,573,2524,.533,.306,.713,15.0,7.3,5.8,1.1,0.4,0.4
2016-2017,35,Buddy Hield,"Oct 26, '16, NOP vs. DEN",24,9,656,18891,3682,8470,2002,4991,802,931,491,2757,1675,566,212,1093,1363,10168,.435,.401,.861,28.8,15.5,4.2,2.6,0.9,0.3
2016-2017,36,Danuel House Jr.,"Nov 11, '16, WAS vs. CLE",23,8,294,6271,734,1692,368,1024,319,419,156,879,335,165,98,214,467,2155,.434,.359,.761,21.3,7.3,3.0,1.1,0.6,0.3
2016-2017,37,Brandon Ingram,"Oct 26, '16, LAL vs. HOU",19,9,495,16316,3528,7541,687,1892,1913,2429,361,2566,2130,358,280,1268,1198,9656,.468,.363,.788,33.0,19.5,5.2,4.3,0.7,0.6
2016-2017,38,Demetrius Jackson,"Nov 6, '16, BOS vs. DEN",22,3,26,136,18,37,4,14,8,12,9,19,17,7,1,11,11,48,.486,.286,.667,5.2,1.8,0.7,0.7,0.3,0.0
2016-2017,39,Pierre Jackson,"Dec 27, '16, DAL vs. HOU",25,1,8,84,13,39,3,11,6,7,1,9,19,2,0,3,5,35,.333,.273,.857,10.5,4.4,1.1,2.4,0.3,0.0
2016-2017,40,Brice Johnson,"Feb 23, '17, LAC @ GSW",22,2,21,107,22,49,0,1,3,5,10,34,3,11,7,6,13,47,.449,.000,.600,5.1,2.2,1.6,0.1,0.5,0.3
2016-2017,41,Damian Jones,"Dec 10, '16, GSW @ MEM",21,8,279,3782,536,817,26,74,268,375,292,869,193,92,182,175,530,1366,.656,.351,.715,13.6,4.9,3.1,0.7,0.3,0.7
2016-2017,42,Derrick Jones Jr.,"Nov 19, '16, PHO @ PHI",19,9,445,8836,1136,2265,273,840,515,722,531,1451,329,298,287,272,832,3060,.502,.325,.713,19.9,6.9,3.3,0.7,0.7,0.6
2016-2017,43,Mindaugas Kuzminskas,"Oct 25, '16, NYK @ CLE",27,2,69,1018,158,371,54,168,55,68,47,126,69,29,11,51,79,425,.426,.321,.809,14.8,6.2,1.8,1.0,0.4,0.2
2016-2017,44,Skal Labissière,"Nov 5, '16, SAC @ MIL",20,4,148,2595,429,872,30,85,181,242,224,662,152,53,99,151,314,1069,.492,.353,.748,17.5,7.2,4.5,1.0,0.4,0.7
2016-2017,45,Nicolás Laprovíttola,"Oct 25, '16, SAS @ GSW",27,1,18,174,20,47,10,27,9,9,1,10,28,4,1,19,19,59,.426,.370,1.000,9.7,3.3,0.6,1.6,0.2,0.1
2016-2017,46,Jake Layman,"Nov 1, '16, POR vs. GSW",22,6,243,3099,458,996,131,437,128,178,102,417,127,99,71,122,254,1175,.460,.300,.719,12.8,4.8,1.7,0.5,0.4,0.3
2016-2017,47,Caris LeVert,"Dec 7, '16, BRK vs. DEN",22,9,480,13449,2495,5718,706,2044,1041,1412,339,1838,1974,509,174,869,962,6737,.436,.345,.737,28.0,14.0,3.8,4.1,1.1,0.4
2016-2017,48,Shawn Long,"Mar 6, '17, PHI vs. MIL",24,1,18,234,61,109,7,19,19,35,41,85,13,9,9,13,49,148,.560,.368,.543,13.0,8.2,4.7,0.7,0.5,0.5
2016-2017,49,Timothé Luwawu-Cabarrot,"Oct 29, '16, PHI vs. ATL",21,6,328,5254,648,1657,320,956,321,387,124,656,293,132,42,232,605,1937,.391,.335,.829,16.0,5.9,2.0,0.9,0.4,0.1
2016-2017,50,Sheldon Mac,"Oct 27, '16, WAS @ ATL",24,1,30,287,30,75,7,30,23,27,4,34,15,8,2,5,17,90,.400,.233,.852,9.6,3.0,1.1,0.5,0.3,0.1
2016-2017,51,Thon Maker,"Oct 30, '16, MIL @ DET",19,5,263,3624,425,976,130,397,236,347,218,726,161,96,173,142,460,1216,.435,.327,.680,13.8,4.6,2.8,0.6,0.4,0.7
2016-2017,52,Patrick McCaw,"Oct 25, '16, GSW vs. SAS",21,5,199,3373,292,696,92,302,84,107,64,319,270,139,31,123,233,760,.420,.305,.785,16.9,3.8,1.6,1.4,0.7,0.2
2016-2017,53,Rodney McGruder,"Oct 26, '16, MIA @ ORL",25,7,317,6158,681,1622,301,836,162,241,253,885,381,161,50,190,459,1825,.420,.360,.672,19.4,5.8,2.8,1.2,0.5,0.2
2016-2017,54,Dejounte Murray,"Oct 29, '16, SAS vs. NOP",20,8,481,14028,2963,6506,566,1656,916,1161,441,2783,2551,697,133,989,863,7408,.455,.342,.789,29.2,15.4,5.8,5.3,1.4,0.3
2016-2017,55,Jamal Murray,"Oct 26, '16, DEN @ NOP",19,8,487,15022,3136,6951,1025,2711,1212,1402,369,1830,2215,478,175,986,885,8509,.451,.378,.864,30.8,17.5,3.8,4.5,1.0,0.4
2016-2017,56,Maurice Ndour,"Nov 1, '16, NYK @ DET",24,1,32,331,39,86,1,7,19,26,22,64,8,15,8,12,30,98,.453,.143,.731,10.3,3.1,2.0,0.3,0.5,0.3
2016-2017,57,Georges Niang,"Oct 28, '16, IND @ BRK",23,9,491,8334,1253,2833,760,1924,217,252,142,1183,455,157,69,322,840,3483,.442,.395,.861,17.0,7.1,2.4,0.9,0.3,0.1
2016-2017,58,David Nwaba,"Feb 28, '17, LAL vs. CHO",24,6,237,4583,603,1231,87,272,329,489,236,866,246,177,106,163,447,1622,.490,.320,.673,19.3,6.8,3.7,1.0,0.7,0.4
2016-2017,59,Daniel Ochefu,"Oct 27, '16, WAS @ ATL",23,1,19,75,12,27,0,0,0,2,5,22,3,2,0,3,17,24,.444,,.000,3.9,1.3,1.2,0.2,0.1,0.0
