team,achievement_type,year
Phoenix Suns,Conference Titles,1976
Phoenix Suns,Conference Titles,1993
Phoenix Suns,Conference Titles,2021
Phoenix Suns,Division Titles,1981
Phoenix Suns,Division Titles,1993
Phoenix Suns,Division Titles,1995
Phoenix Suns,Division Titles,2005
Phoenix Suns,Division Titles,2006
Phoenix Suns,Division Titles,2007
Phoenix Suns,Division Titles,2021
Phoenix Suns,Division Titles,2022
Sacramento Kings,Championship Wins,1951
Sacramento Kings,Division Titles,1949
Sacramento Kings,Division Titles,1952
Sacramento Kings,Division Titles,1979
Sacramento Kings,Division Titles,2002
Sacramento Kings,Division Titles,2003
Sacramento Kings,Division Titles,2023
Dallas Mavericks,Championship Wins,2011
Dallas Mavericks,Conference Titles,2006
Dallas Mavericks,Conference Titles,2011
Dallas Mavericks,Division Titles,1987
Dallas Mavericks,Division Titles,2007
Dallas Mavericks,Division Titles,2010
Dallas Mavericks,Division Titles,2021
Dallas Mavericks,Division Titles,2024
Memphis Grizzlies,Division Titles,2022
Memphis Grizzlies,Division Titles,2023
New Orleans Pelicans,Division Titles,2008
San Antonio Spurs,Championship Wins,1999
San Antonio Spurs,Championship Wins,2003
San Antonio Spurs,Championship Wins,2005
San Antonio Spurs,Championship Wins,2007
San Antonio Spurs,Championship Wins,2014
San Antonio Spurs,Conference Titles,1999
San Antonio Spurs,Conference Titles,2003
San Antonio Spurs,Conference Titles,2005
San Antonio Spurs,Conference Titles,2007
San Antonio Spurs,Conference Titles,2013
San Antonio Spurs,Conference Titles,2014
San Antonio Spurs,Division Titles,1978
San Antonio Spurs,Division Titles,1979
San Antonio Spurs,Division Titles,1981
San Antonio Spurs,Division Titles,1982
San Antonio Spurs,Division Titles,1983
San Antonio Spurs,Division Titles,1990
San Antonio Spurs,Division Titles,1991
San Antonio Spurs,Division Titles,1995
San Antonio Spurs,Division Titles,1996
San Antonio Spurs,Division Titles,1999
San Antonio Spurs,Division Titles,2001
San Antonio Spurs,Division Titles,2002
San Antonio Spurs,Division Titles,2003
San Antonio Spurs,Division Titles,2005
San Antonio Spurs,Division Titles,2006
San Antonio Spurs,Division Titles,2009
San Antonio Spurs,Division Titles,2011
San Antonio Spurs,Division Titles,2012
San Antonio Spurs,Division Titles,2013
San Antonio Spurs,Division Titles,2014
San Antonio Spurs,Division Titles,2016
San Antonio Spurs,Division Titles,2017
