season,rank,player,age,yrs,g,mp,fg,fga,3p,3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg%,3p%,ft%,mp_(per_game),pts_(per_game),trb_(per_game),ast_(per_game),stl_(per_game),blk_(per_game),debut_date,debut_match
2013-2014,7,Lorenzo Brown,23,5,103,1185,123,338,18,106,29,41,28,151,183,61,15,74,101,293,0.364,0.17,0.707,11.5,2.8,1.5,1.8,0.6,0.1,2013-11-20, PHI vs. TOR
2013-2014,8,Reggie Bullock,22,11,556,12556,1441,3395,879,2284,278,336,188,1451,647,318,81,301,783,4039,0.424,0.385,0.827,22.6,7.3,2.6,1.2,0.6,0.1,2013-10-29, LAC @ LAL
2013-2014,9,Trey Burke,21,9,498,10401,1847,4500,564,1637,534,659,164,878,1522,274,52,555,641,4792,0.41,0.345,0.81,20.9,9.6,1.8,3.1,0.6,0.1,2013-11-20, UTA @ NOP
2013-2014,10,Dwight Buycks,24,3,49,696,115,286,27,73,53,60,18,76,83,30,2,61,53,310,0.402,0.37,0.883,14.2,6.3,1.6,1.7,0.6,0.0,2013-11-01,TOR @ ATL
2013-2014,11,Nick Calathes,24,2,129,2011,246,558,30,104,68,117,42,243,353,129,13,162,217,590,0.441,0.288,0.581,15.6,4.6,1.9,2.7,1.0,0.1,2013-10-30, MEM @ SAS
2013-2014,12,Kentavious Caldwell-Pope,20,12,861,25543,3462,8120,1457,3976,1332,1623,498,2593,1561,1001,245,880,1605,9713,0.426,0.366,0.821,29.7,11.3,3.0,1.8,1.2,0.3,2013-10-30, DET vs. WAS
2013-2014,13,Isaiah Canaan,22,6,235,4799,616,1661,366,1042,315,377,63,438,454,145,23,259,364,1913,0.371,0.351,0.836,20.4,8.1,1.9,1.9,0.6,0.1,2013-12-25, HOU @ SAS
2013-2014,14,Michael Carter-Williams,22,9,395,9942,1498,3730,183,716,861,1221,379,1718,1708,498,215,916,964,4040,0.402,0.256,0.705,25.2,10.2,4.3,4.3,1.3,0.5,2013-10-30, PHI vs. MIA
2013-2014,15,Dionte Christmas,27,1,31,198,22,62,9,31,18,24,13,38,8,2,3,6,19,71,0.355,0.29,0.75,6.4,2.3,1.2,0.3,0.1,0.1,2013-11-01,PHO vs. UTA
2013-2014,16,Ian Clark,22,6,330,4507,718,1635,240,705,164,204,65,440,385,128,44,236,394,1840,0.439,0.34,0.804,13.7,5.6,1.3,1.2,0.4,0.1,2013-11-01,UTA @ PHO
2013-2014,17,Robert Covington,23,11,614,17334,2235,5469,1263,3493,904,1114,552,3385,884,938,578,861,1738,6637,0.409,0.362,0.811,28.2,10.8,5.5,1.4,1.5,0.9,2014-01-18, HOU vs. MIL
2013-2014,18,Allen Crabbe,21,7,381,9125,1226,2888,617,1596,384,462,109,1073,434,223,104,285,764,3453,0.425,0.387,0.831,24.0,9.1,2.8,1.1,0.6,0.3,2013-11-01,POR @ DEN
2013-2014,19,Seth Curry,23,11,506,11606,1884,4002,882,2046,493,571,159,1042,983,342,70,504,781,5143,0.471,0.431,0.863,22.9,10.2,2.1,1.9,0.7,0.1,2014-01-05,MEM @ DET
2013-2014,20,Troy Daniels,22,7,339,5045,767,1914,555,1404,143,179,74,446,185,100,21,187,429,2232,0.401,0.395,0.799,14.9,6.6,1.3,0.5,0.3,0.1,2014-03-05,HOU @ ORL
2013-2014,21,Gigi Datome,26,2,55,447,77,186,25,79,9,11,17,75,20,8,8,20,35,188,0.414,0.316,0.818,8.1,3.4,1.4,0.4,0.1,0.1,2013-10-30, DET vs. WAS
2013-2014,22,Brandon Davies,22,2,78,998,109,265,10,44,58,90,76,192,58,42,15,64,151,286,0.411,0.227,0.644,12.8,3.7,2.5,0.7,0.5,0.2,2013-11-02,PHI vs. CHI
2013-2014,23,Dewayne Dedmon,24,10,515,8896,1287,2445,187,557,494,676,784,2970,358,258,409,497,1290,3255,0.526,0.336,0.731,17.3,6.3,5.8,0.7,0.5,0.8,2013-11-18, GSW @ UTA
2013-2014,24,Matthew Dellavedova,23,9,479,9286,894,2323,409,1127,313,375,168,811,1690,213,21,562,865,2510,0.385,0.363,0.835,19.4,5.2,1.7,3.5,0.4,0.0,2013-11-02,CLE @ IND
2013-2014,25,Gorgui Dieng,24,10,628,12625,1736,3500,196,552,923,1167,1048,3534,837,468,549,687,1339,4591,0.496,0.355,0.791,20.1,7.3,5.6,1.3,0.7,0.9,2013-11-01,MIN vs. OKC
2013-2014,26,Shane Edwards,26,1,2,12,1,3,0,0,0,0,1,2,0,0,0,1,1,2,0.333,,,6.0,1.0,1.0,0.0,0.0,0.0,2014-03-16, CLE @ LAC
2013-2014,27,Vítor Luiz Faverani,25,1,37,488,64,147,12,40,24,37,42,128,16,14,27,41,74,164,0.435,0.3,0.649,13.2,4.4,3.5,0.4,0.4,0.7,2013-10-30, BOS @ TOR
2013-2014,28,Carrick Felix,23,1,7,38,7,14,2,5,3,4,1,6,4,0,0,4,4,19,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0.0,0.0,2013-11-22, CLE @ NOP
2013-2014,29,Jamaal Franklin,22,2,24,174,17,41,6,13,2,2,5,25,9,4,3,14,27,42,0.415,0.462,1.0,7.3,1.8,1.0,0.4,0.2,0.1,2013-11-06,MEM vs. NOP
2013-2014,30,Rudy Gobert,21,12,781,23868,3657,5587,0,17,2533,3948,2619,9181,1044,537,1649,1287,2095,9847,0.655,0.0,0.642,30.6,12.6,11.8,1.3,0.7,2.1,2013-10-30, UTA vs. OKC
2013-2014,31,Archie Goodwin,19,4,165,2396,367,856,45,191,261,373,86,331,206,69,38,206,192,1040,0.429,0.236,0.7,14.5,6.3,2.0,1.2,0.4,0.2,2013-10-30, PHO vs. POR
2013-2014,32,Jorge Gutiérrez,25,3,47,482,53,106,3,17,28,36,8,54,69,19,1,32,65,137,0.5,0.176,0.778,10.3,2.9,1.1,1.5,0.4,0.0,2014-03-09,BRK vs. SAC
2013-2014,33,Justin Hamilton,23,3,113,1961,268,577,68,220,83,104,132,403,91,61,73,73,169,687,0.464,0.309,0.798,17.4,6.1,3.6,0.8,0.5,0.6,2014-03-08,CHA @ MEM
2013-2014,34,Tim Hardaway Jr.,21,12,759,20736,3657,8756,1716,4768,1498,1841,244,2203,1398,465,101,766,1243,10528,0.418,0.36,0.814,27.3,13.9,2.9,1.8,0.6,0.1,2013-10-30, NYK vs. MIL
2013-2014,35,Elias Harris,24,1,2,11,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0.0,,,5.5,0.0,0.5,0.5,0.5,0.0,2013-10-30, LAL @ GSW
2013-2014,36,Solomon Hill,22,9,448,9652,843,2175,362,1093,405,508,289,1399,662,307,99,377,765,2453,0.388,0.331,0.797,21.5,5.5,3.1,1.5,0.7,0.2,2013-10-29, IND vs. ORL
2013-2014,37,Scotty Hopson,24,3,4,33,2,9,0,3,2,4,0,1,3,1,0,3,1,6,0.222,0.0,0.5,8.3,1.5,0.3,0.8,0.3,0.0,2014-04-02,CLE @ ORL
2013-2014,38,Robbie Hummel,24,2,98,1397,146,349,48,140,39,45,66,266,50,32,11,28,143,379,0.418,0.343,0.867,14.3,3.9,2.7,0.5,0.3,0.1,2013-11-01,MIN vs. OKC
2013-2014,39,Sergey Karasev,20,3,95,1110,96,243,31,110,64,76,30,140,87,32,4,57,94,287,0.395,0.282,0.842,11.7,3.0,1.5,0.9,0.3,0.0,2013-11-02,CLE @ IND
2013-2014,40,Ryan Kelly,22,4,163,3125,324,857,102,323,231,290,77,504,215,79,84,106,309,981,0.378,0.316,0.797,19.2,6.0,3.1,1.3,0.5,0.5,2013-11-05,LAL @ DAL
2013-2014,41,Ognjen Kuzmić,23,2,37,164,13,25,0,0,9,15,17,38,8,5,5,15,30,35,0.52,,0.6,4.4,0.9,1.0,0.2,0.1,0.1,2013-10-30, GSW vs. LAL
2013-2014,42,Shane Larkin,21,4,256,4880,545,1290,117,348,192,247,83,490,737,243,24,301,375,1399,0.422,0.336,0.777,19.1,5.5,1.9,2.9,0.9,0.1,2013-11-18, DAL vs. PHI
2013-2014,43,Ricky Ledo,21,2,28,277,38,113,13,35,20,26,16,38,21,7,1,28,23,109,0.336,0.371,0.769,9.9,3.9,1.4,0.8,0.3,0.0,2013-11-01,DAL @ HOU
2013-2014,44,Alex Len,20,12,663,11509,1760,3450,110,343,930,1367,1157,3563,567,242,605,724,1575,4560,0.51,0.321,0.68,17.4,6.9,5.4,0.9,0.4,0.9,2013-10-30, PHO vs. POR
2013-2014,45,Ray McCallum,22,3,154,2808,374,916,71,212,101,142,78,306,368,79,27,148,190,920,0.408,0.335,0.711,18.2,6.0,2.0,2.4,0.5,0.2,2013-12-06,SAC vs. LAL
2013-2014,46,CJ McCollum,22,12,744,23871,5537,12211,1856,4665,1581,1968,475,2704,2828,674,308,1340,1562,14511,0.453,0.398,0.803,32.1,19.5,3.6,3.8,0.9,0.4,2014-01-08,POR vs. ORL
2013-2014,47,Ben McLemore,20,9,556,12534,1768,4270,868,2392,611,783,222,1269,563,353,106,608,1175,5015,0.414,0.363,0.78,22.5,9.0,2.3,1.0,0.6,0.2,2013-10-30, SAC vs. DEN
2013-2014,48,Gal Mekel,25,2,35,335,33,106,5,23,8,12,5,28,76,6,1,33,32,79,0.311,0.217,0.667,9.6,2.3,0.8,2.2,0.2,0.0,2013-10-30, DAL vs. ATL
2013-2014,49,Tony Mitchell,21,1,21,79,5,12,1,1,11,19,15,26,2,6,3,4,9,22,0.417,1.0,0.579,3.8,1.0,1.2,0.1,0.3,0.1,2013-10-30, DET vs. WAS
2013-2014,50,Tony Mitchell,24,1,3,10,3,5,0,1,0,0,1,1,1,1,0,0,0,6,0.6,0.0,,3.3,2.0,0.3,0.3,0.3,0.0,2014-03-05,MIL vs. SAC
2013-2014,51,Shabazz Muhammad,21,5,278,4772,940,1988,123,386,501,667,294,770,151,81,24,183,283,2504,0.473,0.319,0.751,17.2,9.0,2.8,0.5,0.3,0.1,2013-11-01,MIN vs. OKC
2013-2014,52,Erik Murphy,23,1,24,62,3,13,0,3,0,0,2,8,2,0,4,2,7,6,0.231,0.0,,2.6,0.3,0.3,0.1,0.0,0.2,2013-11-06,CHI @ IND
2013-2014,53,Toure' Murry,24,2,56,391,58,134,5,12,25,41,14,45,50,20,1,38,48,146,0.433,0.417,0.61,7.0,2.6,0.8,0.9,0.4,0.0,2013-11-08,NYK @ CHA
2013-2014,54,Mike Muscala,22,11,548,8239,1144,2538,519,1390,399,481,428,1699,464,174,248,302,780,3206,0.451,0.373,0.83,15.0,5.9,3.1,0.8,0.3,0.5,2014-03-02,ATL @ PHO
2013-2014,55,Nemanja Nedović,22,1,24,142,8,39,3,18,7,8,3,15,13,0,1,13,13,26,0.205,0.167,0.875,5.9,1.1,0.6,0.5,0.0,0.0,2013-10-30, GSW vs. LAL
2013-2014,56,James Nunnally,23,3,37,315,32,93,20,62,11,15,3,33,18,7,2,10,22,95,0.344,0.323,0.733,8.5,2.6,0.9,0.5,0.2,0.1,2014-01-16, ATL vs. BRK
2013-2014,57,Victor Oladipo,21,10,504,16247,3118,7152,814,2349,1453,1843,289,2245,1970,805,230,1266,1202,8503,0.436,0.347,0.788,32.2,16.9,4.5,3.9,1.6,0.5,2013-10-29, ORL @ IND
2013-2014,58,Kelly Olynyk,22,12,759,17150,2784,5746,890,2409,1316,1650,917,3930,1851,603,352,1213,2160,7774,0.485,0.369,0.798,22.6,10.2,5.2,2.4,0.8,0.5,2013-10-30, BOS @ TOR
2013-2014,59,Arinze Onuaku,26,3,19,126,15,23,0,0,4,10,11,35,9,1,4,5,12,34,0.652,,0.4,6.6,1.8,1.8,0.5,0.1,0.2,2013-10-30, NOP vs. IND
2013-2014,60,Mason Plumlee,23,12,809,17905,2634,4437,2,47,1416,2473,1687,5455,1949,572,675,1162,2179,6686,0.594,0.043,0.573,22.1,8.3,6.7,2.4,0.7,0.8,2013-11-03,BRK @ ORL
2013-2014,61,Otto Porter Jr.,20,11,527,13400,2088,4376,684,1724,559,701,602,2599,783,586,221,399,919,5419,0.477,0.397,0.797,25.4,10.3,4.9,1.5,1.1,0.4,2013-12-06,WAS vs. MIL
2013-2014,62,Phil Pressey,22,3,148,2015,172,505,48,189,75,119,36,216,433,116,15,161,179,467,0.341,0.254,0.63,13.6,3.2,1.5,2.9,0.8,0.1,2013-10-30, BOS @ TOR
2013-2014,63,Miroslav Raduljica,26,2,53,488,71,134,0,0,47,57,56,113,23,8,13,30,92,189,0.53,,0.825,9.2,3.6,2.1,0.4,0.2,0.2,2013-11-12, MIL @ MIA
2013-2014,64,Glen Rice Jr.,23,2,16,152,14,52,6,24,9,13,6,24,9,6,1,11,18,43,0.269,0.25,0.692,9.5,2.7,1.5,0.6,0.4,0.1,2013-11-12, WAS @ DAL
2013-2014,65,Andre Roberson,22,7,307,6801,573,1211,112,443,124,265,362,1230,265,268,199,185,658,1382,0.473,0.253,0.468,22.2,4.5,4.0,0.9,0.9,0.6,2013-11-01,OKC @ MIN
2013-2014,66,Dennis Schröder,20,12,790,21691,4107,9449,991,2879,1977,2360,330,2304,3845,654,113,1803,1628,11182,0.435,0.344,0.838,27.5,14.2,2.9,4.9,0.8,0.1,2013-10-30, ATL @ DAL
2013-2014,67,Peyton Siva,23,1,24,224,18,57,7,25,11,15,2,14,34,9,1,18,27,54,0.316,0.28,0.733,9.3,2.3,0.6,1.4,0.4,0.0,2013-10-30, DET vs. WAS
2013-2014,68,Chris Smith,26,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,2013-12-25, NYK vs. OKC
2013-2014,69,Tony Snell,22,9,601,13093,1335,3097,728,1848,274,324,172,1371,669,266,138,329,846,3672,0.431,0.394,0.846,21.8,6.1,2.3,1.1,0.4,0.2,2013-10-29, CHI @ MIA
2013-2014,70,James Southerland,23,1,4,30,5,15,3,6,1,2,0,8,0,1,2,1,3,14,0.333,0.5,0.5,7.5,3.5,2.0,0.0,0.3,0.5,2013-11-29, CHA vs. MIL
2013-2014,71,D.J. Stephens,23,2,4,22,4,9,0,0,1,1,1,5,0,1,0,1,0,9,0.444,,1.0,5.5,2.3,1.3,0.0,0.3,0.0,2014-03-29, MIL vs. MIA
2013-2014,72,Adonis Thomas,20,1,6,37,6,14,1,5,1,1,0,3,3,0,0,1,6,14,0.429,0.2,1.0,6.2,2.3,0.5,0.5,0.0,0.0,2014-03-01,ORL @ MIA
2013-2014,73,Hollis Thompson,22,4,265,6424,742,1795,363,941,203,287,199,829,292,166,68,213,541,2050,0.413,0.386,0.707,24.2,7.7,3.1,1.1,0.6,0.3,2013-11-01,PHI @ WAS
2013-2014,74,Casper Ware,24,1,9,116,18,42,7,21,5,6,0,9,10,8,0,5,11,48,0.429,0.333,0.833,12.9,5.3,1.0,1.1,0.9,0.0,2014-03-24, PHI @ SAS
2013-2014,75,Royce White,22,1,3,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0.0,,,3.0,0.0,0.0,0.0,0.0,0.0,2014-03-21, SAC vs. SAS
2013-2014,76,Jeff Withey,23,5,207,2072,249,474,2,14,166,232,181,518,64,56,156,76,229,666,0.525,0.143,0.716,10.0,3.2,2.5,0.3,0.3,0.8,2013-11-01,NOP @ ORL
2013-2014,77,Nate Wolters,22,3,84,1575,191,452,18,69,61,96,42,185,209,43,17,70,86,461,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.5,0.2,2013-10-30, MIL @ NYK
2013-2014,78,Cody Zeller,21,11,552,11510,1649,3172,33,150,1045,1438,1067,3125,740,332,330,552,1359,4376,0.52,0.22,0.727,20.9,7.9,5.7,1.3,0.6,0.6,2013-10-30, CHA @ HOU
2014-2015,1,Jordan Adams,20,2,32,263,37,92,10,26,17,28,9,30,19,19,7,16,26,101,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.6,0.2,2014-11-03,MEM vs. NOP
2014-2015,2,Furkan Aldemir,23,1,41,540,40,78,0,5,13,27,78,176,28,17,16,17,96,93,0.513,0.0,0.481,13.2,2.3,4.3,0.7,0.4,0.4,2014-12-15, PHI vs. BOS
2014-2015,3,Kyle Anderson,21,11,676,14649,1812,3800,276,822,730,1024,511,2928,1885,677,418,689,1050,4630,0.477,0.336,0.713,21.7,6.8,4.3,2.8,1.0,0.6,2014-11-06,SAS @ HOU
2014-2015,4,Cameron Bairstow,24,2,36,167,16,54,1,5,11,13,10,36,7,4,4,7,27,44,0.296,0.2,0.846,4.6,1.2,1.0,0.2,0.1,0.1,2014-10-29, CHI @ NYK
2014-2015,5,Jerrelle Benimon,23,1,2,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,,,,1.5,0.0,1.5,0.0,0.0,0.0,2015-03-10, UTA vs. NYK
2014-2015,6,Sim Bhullar,22,1,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,2,0.5,,,1.0,0.7,0.3,0.3,0.0,0.3,2015-04-07,SAC vs. MIN
2014-2015,7,Tarik Black,23,4,220,3319,439,798,2,14,195,335,393,1031,110,83,116,163,516,1075,0.55,0.143,0.582,15.1,4.9,4.7,0.5,0.4,0.5,2014-10-28, HOU @ LAL
2014-2015,8,Bojan Bogdanović,25,10,719,20890,3872,8424,1511,3831,1929,2245,381,2559,1194,398,55,1205,1185,11184,0.46,0.394,0.859,29.1,15.6,3.6,1.7,0.6,0.1,2014-10-29, BRK @ BOS
2014-2015,9,Jabari Brown,22,1,19,568,70,170,23,62,64,85,3,36,40,12,2,32,33,227,0.412,0.371,0.753,29.9,11.9,1.9,2.1,0.6,0.1,2015-03-12, LAL vs. NYK
2014-2015,10,Markel Brown,23,3,113,1794,205,539,56,190,118,151,40,234,132,69,27,83,157,584,0.38,0.295,0.781,15.9,5.2,2.1,1.2,0.6,0.2,2014-11-22, BRK @ SAS
2014-2015,11,Bruno Caboclo,19,7,105,1293,162,402,62,201,56,67,82,268,72,36,59,69,135,442,0.403,0.308,0.836,12.3,4.2,2.6,0.7,0.3,0.6,2014-11-21, TOR vs. MIL
2014-2015,12,Clint Capela,20,11,636,16848,3373,5448,0,5,991,1820,2357,6770,649,433,926,677,1508,7737,0.619,0.0,0.545,26.5,12.2,10.6,1.0,0.7,1.5,2014-11-06,HOU vs. SAS
2014-2015,13,Will Cherry,23,1,8,69,5,19,2,9,3,6,1,5,8,6,1,4,10,15,0.263,0.222,0.5,8.6,1.9,0.6,1.0,0.8,0.1,2014-11-07,CLE @ DEN
2014-2015,14,Patrick Christopher,26,1,4,29,3,12,0,4,0,0,2,6,0,1,0,1,6,6,0.25,0.0,,7.3,1.5,1.5,0.0,0.3,0.0,2014-12-27, UTA vs. PHI
2014-2015,15,Jordan Clarkson,22,11,730,20229,4366,9988,1344,4023,1571,1891,632,2457,2127,595,109,1359,1237,11647,0.437,0.334,0.831,27.7,16.0,3.4,2.9,0.8,0.1,2014-10-28, LAL vs. HOU
2014-2015,16,Jack Cooley,23,2,23,174,22,49,0,0,23,40,24,55,7,7,3,6,36,67,0.449,,0.575,7.6,2.9,2.4,0.3,0.3,0.1,2015-02-27, UTA @ DEN
2014-2015,17,Bryce Cotton,22,2,23,198,33,79,7,23,15,18,3,18,18,7,0,17,8,88,0.418,0.304,0.833,8.6,3.8,0.8,0.8,0.3,0.0,2015-02-27, UTA @ DEN
2014-2015,18,Andre Dawkins,23,1,4,22,1,6,1,6,0,0,0,2,1,0,0,1,3,3,0.167,0.167,,5.5,0.8,0.5,0.3,0.0,0.0,2014-11-01,MIA @ PHI
2014-2015,19,Spencer Dinwiddie,21,11,565,15575,2396,5790,890,2658,1712,2147,240,1683,2874,394,156,923,1261,7394,0.414,0.335,0.797,27.6,13.1,3.0,5.1,0.7,0.3,2014-10-29, DET @ DEN
2014-2015,20,Zoran Dragić,25,1,16,75,11,30,3,14,3,5,5,8,5,2,0,5,6,28,0.367,0.214,0.6,4.7,1.8,0.5,0.3,0.1,0.0,2014-11-15, PHO @ LAC
2014-2015,21,Larry Drew II,24,2,22,289,27,82,7,35,2,3,4,18,55,6,0,28,19,63,0.329,0.2,0.667,13.1,2.9,0.8,2.5,0.3,0.0,2015-01-16, PHI vs. NOP
2014-2015,22,Cleanthony Early,23,2,56,801,88,254,26,99,39,52,26,123,42,26,15,49,73,241,0.346,0.263,0.75,14.3,4.3,2.2,0.8,0.5,0.3,2014-10-29, NYK vs. CHI
2014-2015,23,James Ennis III,24,8,395,8022,907,1985,317,880,498,625,393,1306,373,244,113,303,792,2629,0.457,0.36,0.797,20.3,6.7,3.3,0.9,0.6,0.3,2014-10-29, MIA vs. WAS
2014-2015,24,Tyler Ennis,20,4,186,2336,320,763,66,208,73,95,48,250,359,98,18,171,233,779,0.419,0.317,0.768,12.6,4.2,1.3,1.9,0.5,0.1,2014-10-29, PHO vs. LAL
2014-2015,25,Dante Exum,19,7,300,5633,670,1554,220,655,257,335,116,590,672,123,49,357,514,1817,0.431,0.336,0.767,18.8,6.1,2.0,2.2,0.4,0.2,2014-10-29, UTA vs. HOU
2014-2015,26,Tim Frazier,24,8,289,5088,515,1286,131,405,251,347,139,654,1142,193,26,379,517,1412,0.4,0.323,0.723,17.6,4.9,2.3,4.0,0.7,0.1,2015-02-06,PHI @ BOS
2014-2015,27,Langston Galloway,23,8,452,9840,1304,3286,639,1738,409,501,212,1106,732,304,64,269,704,3656,0.397,0.368,0.816,21.8,8.1,2.4,1.6,0.7,0.1,2015-01-07,NYK @ WAS
2014-2015,28,Aaron Gordon,19,11,681,19979,3490,7249,704,2166,1496,2182,1200,4299,1816,505,434,1013,1343,9180,0.481,0.325,0.686,29.3,13.5,6.3,2.7,0.7,0.6,2014-10-28, ORL @ NOP
2014-2015,29,Drew Gordon,24,1,9,71,8,19,0,3,1,2,7,18,2,1,0,8,7,17,0.421,0.0,0.5,7.9,1.9,2.0,0.2,0.1,0.0,2014-11-13, PHI @ DAL
2014-2015,30,Jerami Grant,20,11,695,19283,3119,6892,890,2439,1992,2660,590,2744,1102,466,726,883,1587,9120,0.453,0.365,0.749,27.7,13.1,3.9,1.6,0.7,1.0,2014-11-29, PHI vs. DAL
2014-2015,31,Erick Green,23,2,52,452,66,175,15,52,12,14,10,37,42,13,0,14,30,159,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.3,0.0,2014-11-07,DEN vs. CLE
2014-2015,32,JaMychal Green,24,9,544,10933,1579,3311,430,1170,620,791,891,2986,496,298,226,570,1389,4208,0.477,0.368,0.784,20.1,7.7,5.5,0.9,0.5,0.4,2015-01-18, SAS vs. UTA
2014-2015,33,P.J. Hairston,22,2,111,2000,232,677,119,404,81,100,47,266,59,53,24,63,198,664,0.343,0.295,0.81,18.0,6.0,2.4,0.5,0.5,0.2,2014-11-04,CHO @ NOP
2014-2015,34,Gary Harris,20,11,587,16236,2344,5245,892,2413,784,966,338,1374,1118,650,132,623,1034,6364,0.447,0.37,0.812,27.7,10.8,2.3,1.9,1.1,0.2,2014-11-14, DEN @ IND
2014-2015,35,Joe Harris,23,10,504,12298,1891,3949,1026,2354,377,489,264,1521,790,241,95,522,1009,5185,0.479,0.436,0.771,24.4,10.3,3.0,1.6,0.5,0.2,2014-10-31, CLE @ CHI
2014-2015,36,Rodney Hood,22,8,448,10977,1688,4023,647,1770,633,753,158,1160,736,301,80,426,855,4656,0.42,0.366,0.841,24.5,10.4,2.6,1.6,0.7,0.2,2014-10-29, UTA vs. HOU
2014-2015,37,Joe Ingles,27,11,711,17397,2012,4493,1224,2988,459,593,222,2186,2575,620,101,1050,1266,5707,0.448,0.41,0.774,24.5,8.0,3.1,3.6,0.9,0.1,2014-10-29, UTA vs. HOU
2014-2015,38,Cory Jefferson,24,2,58,581,84,189,2,16,35,60,53,161,16,10,22,20,69,205,0.444,0.125,0.583,10.0,3.5,2.8,0.3,0.2,0.4,2014-10-29, BRK @ BOS
2014-2015,39,Grant Jerrett,21,1,8,51,7,26,1,15,1,1,2,9,3,2,2,3,11,16,0.269,0.067,1.0,6.4,2.0,1.1,0.4,0.3,0.3,2014-11-28, OKC vs. NYK
2014-2015,40,Nick Johnson,22,1,28,262,26,75,5,21,17,25,13,39,11,7,3,19,34,74,0.347,0.238,0.68,9.4,2.6,1.4,0.4,0.3,0.1,2014-11-01,HOU vs. BOS
2014-2015,41,Tyler Johnson,22,8,354,8709,1246,2924,438,1217,539,692,187,1069,813,288,140,373,637,3469,0.426,0.36,0.779,24.6,9.8,3.0,2.3,0.8,0.4,2015-01-14, MIA @ GSW
2014-2015,42,Sean Kilpatrick,25,4,157,3082,545,1319,194,579,332,385,40,429,236,73,13,206,191,1616,0.413,0.335,0.862,19.6,10.3,2.7,1.5,0.5,0.1,2015-03-19, MIN @ NYK
2014-2015,43,Alex Kirk,23,1,5,14,1,4,0,0,2,2,1,1,1,0,0,0,1,4,0.25,,1.0,2.8,0.8,0.2,0.2,0.0,0.0,2014-11-04,CLE @ POR
2014-2015,44,Joffrey Lauvergne,23,4,208,2823,477,995,49,172,156,217,239,789,180,55,34,165,286,1159,0.479,0.285,0.719,13.6,5.6,3.8,0.9,0.3,0.2,2015-02-22, DEN @ OKC
2014-2015,45,Zach LaVine,19,11,603,19626,4408,9469,1368,3559,2182,2620,276,2451,2381,533,177,1584,1297,12366,0.466,0.384,0.833,32.5,20.5,4.1,3.9,0.9,0.3,2014-10-30, MIN vs. DET
2014-2015,46,Kalin Lucas,25,2,2,12,0,2,0,1,2,2,0,3,1,1,0,0,2,2,0.0,0.0,1.0,6.0,1.0,1.5,0.5,0.5,0.0,2014-11-19, MEM @ TOR
2014-2015,47,Devyn Marble,22,2,44,457,35,115,12,54,15,40,11,69,29,22,3,16,39,97,0.304,0.222,0.375,10.4,2.2,1.6,0.7,0.5,0.1,2014-10-28, ORL @ NOP
2014-2015,48,James Michael McAdoo,22,4,111,874,133,252,5,17,63,118,79,188,37,33,47,42,108,334,0.528,0.294,0.534,7.9,3.0,1.7,0.3,0.3,0.4,2015-01-19, GSW vs. DEN
2014-2015,49,K.J. McDaniels,21,3,148,2092,278,675,70,241,156,201,96,324,95,70,94,151,205,782,0.412,0.29,0.776,14.1,5.3,2.2,0.6,0.5,0.6,2014-10-29, PHI @ IND
2014-2015,50,Doug McDermott,23,11,674,13385,2220,4717,959,2340,518,644,258,1448,660,144,62,432,972,5917,0.471,0.41,0.804,19.9,8.8,2.1,1.0,0.2,0.1,2014-10-29, CHI @ NYK
2014-2015,51,Mitch McGary,22,2,52,557,99,188,0,6,29,50,57,183,17,17,18,38,82,227,0.527,0.0,0.58,10.7,4.4,3.5,0.3,0.3,0.3,2014-12-14, OKC vs. PHO
2014-2015,52,Jerel McNeal,27,1,6,36,3,11,1,2,2,2,0,3,2,3,1,5,5,9,0.273,0.5,1.0,6.0,1.5,0.5,0.3,0.5,0.2,2015-04-02,PHO @ GSW
2014-2015,53,Elijah Millsap,27,3,69,1120,93,284,29,104,72,106,37,191,78,63,19,78,159,287,0.327,0.279,0.679,16.2,4.2,2.8,1.1,0.9,0.3,2015-01-05,UTA vs. IND
2014-2015,54,Nikola Mirotić,23,5,319,7718,1303,3084,614,1712,690,854,301,1894,407,240,228,381,666,3910,0.423,0.359,0.808,24.2,12.3,5.9,1.3,0.8,0.7,2014-10-29, CHI @ NYK
2014-2015,55,Eric Moreland,23,4,83,898,73,136,1,1,13,33,88,310,83,32,56,50,130,160,0.537,1.0,0.394,10.8,1.9,3.7,1.0,0.4,0.7,2014-11-26, SAC @ HOU
2014-2015,56,Shabazz Napier,23,6,345,5986,808,2034,345,1000,472,579,104,657,849,286,48,452,404,2433,0.397,0.345,0.815,17.4,7.1,1.9,2.5,0.8,0.1,2014-10-29, MIA vs. WAS
