season,rank,player,age,yrs,g,mp,fg,fga,3p,3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg%,3p%,ft%,mp_(per_game),pts_(per_game),trb_(per_game),ast_(per_game),stl_(per_game),blk_(per_game),debut_date,debut_match
2000-2001,14,Rubén Garcés,27,1,13,73,7,22,0,0,2,8,16,29,5,3,2,5,14,16,0.318,,0.25,5.6,1.2,2.2,0.4,0.2,0.2,2000-10-31, PHO @ GSW
2000-2001,15,Eddie Gill,22,7,187,2033,179,496,63,197,150,177,28,207,217,104,14,139,209,571,0.361,0.32,0.847,10.9,3.1,1.1,1.2,0.6,0.1,2001-03-30, NJN @ TOR
2000-2001,16,Steve Goodrich,24,2,21,183,9,28,1,3,5,9,8,26,11,3,3,11,24,24,0.321,0.333,0.556,8.7,1.1,1.2,0.5,0.1,0.1,2001-03-29, CHI vs. BOS
2000-2001,17,A.J. Guyton,22,3,80,1246,166,440,73,193,37,45,22,80,147,20,12,62,58,442,0.377,0.378,0.822,15.6,5.5,1.0,1.8,0.3,0.2,2000-10-31, CHI vs. SAC
2000-2001,18,Zendon Hamilton,25,6,134,1560,176,400,0,0,233,353,184,464,33,39,28,108,215,585,0.44,,0.66,11.6,4.4,3.5,0.2,0.3,0.2,2000-11-18, LAC vs. SEA
2000-2001,19,Jason Hart,22,9,341,5289,614,1473,64,203,331,420,76,567,774,253,34,275,528,1623,0.417,0.315,0.788,15.5,4.8,1.7,2.3,0.7,0.1,2001-04-17, MIL @ MIA
2000-2001,20,Donnell Harvey,20,5,205,3318,453,985,1,10,243,369,261,827,161,97,80,209,464,1150,0.46,0.1,0.659,16.2,5.6,4.0,0.8,0.5,0.4,2000-12-08,DAL vs. CHI
2000-2001,21,Eddie House,22,11,717,12405,2078,5077,817,2096,383,450,164,1223,1112,470,58,569,927,5356,0.409,0.39,0.851,17.3,7.5,1.7,1.6,0.7,0.1,2000-11-01,MIA vs. ORL
2000-2001,22,Marc Jackson,26,7,387,7572,1194,2680,7,31,843,1036,630,1655,311,147,102,467,775,3238,0.446,0.226,0.814,19.6,8.4,4.3,0.8,0.4,0.3,2000-11-02,GSW @ DEN
2000-2001,23,Stephen Jackson,22,14,858,27398,4604,11112,1252,3763,2516,3154,674,3328,2634,1109,317,2141,2043,12976,0.414,0.333,0.798,31.9,15.1,3.9,3.1,1.3,0.4,2000-10-31, NJN vs. CLE
2000-2001,24,DerMarr Johnson,20,7,344,5930,770,1872,274,815,307,389,192,769,304,198,149,349,598,2121,0.411,0.336,0.789,17.2,6.2,2.2,0.9,0.6,0.4,2000-10-31, ATL vs. CHH
2000-2001,25,Garth Joseph,27,1,4,16,1,5,0,0,0,2,2,2,1,0,1,2,1,2,0.2,,0.0,4.0,0.5,0.5,0.3,0.0,0.3,2000-11-10, TOR vs. CLE
2000-2001,26,Dan Langhi,23,4,133,1253,172,440,11,38,38,62,54,199,39,30,12,35,106,393,0.391,0.289,0.613,9.4,3.0,1.5,0.3,0.2,0.1,2000-11-11, HOU @ POR
2000-2001,27,Art Long,28,3,98,1220,148,323,2,3,47,97,130,319,48,27,42,85,220,345,0.458,0.667,0.485,12.4,3.5,3.3,0.5,0.3,0.4,2001-02-20, SAC vs. ATL
2000-2001,28,Mark Madsen,25,9,453,5335,381,834,1,16,212,402,559,1157,181,116,102,206,866,975,0.457,0.063,0.527,11.8,2.2,2.6,0.4,0.3,0.2,2000-10-31, LAL @ POR
2000-2001,29,Jamaal Magloire,22,12,680,14621,1763,3675,0,7,1391,2176,1418,4408,386,224,603,998,1792,4917,0.48,0.0,0.639,21.5,7.2,6.5,0.6,0.3,0.9,2000-10-31, CHH @ ATL
