team,player,pos,seasons,year_of_induction
Golden State Warriors,Jo Jo White,G,1979-1980,2015
Golden State Warriors,Guy Rodgers,G,1959-1966,2014
Golden State Warriors,Mitch Richmond,G,1989-1991,2014
Golden State Warriors,Sarunas Marciulionis,G,1990-1993,2014
Golden State Warriors,Bernard King,F,1981-1982,2013
Golden State Warriors,Jamaal Wilkes,F,1975-1977,2012
Golden State Warriors,Ralph Sampson,C,1988-1989,2012
Golden State Warriors,Chris Mullin,F,"1986-1997, 2001",2011
Golden State Warriors,Robert Parish,C,1977-1980,2003
Golden State Warriors,Neil Johnston,C,1952-1959,1990
Golden State Warriors,Rick Barry,F,"1966-1967, 1973-1978",1987
Golden State Warriors,Nate Thurmond,C,1964-1974,1985
Golden State Warriors,Jerry Lucas,F,1970-1971,1980
Golden State Warriors,Wilt Chamberlain,C,1960-1965,1979
Golden State Warriors,Joe Fulks,F,1947-1954,1978
Golden State Warriors,Paul Arizin,F,"1951-1952, 1955-1962",1978
Golden State Warriors,Tom Gola,G,"1956, 1958-1963",1976
Golden State Warriors,Andy Phillip,G,1951-1953,1961
Los Angeles Clippers,Paul Pierce,F,2016-2017,2021
Los Angeles Clippers,Grant Hill,F,2012-2013,2018
Los Angeles Clippers,Jamaal Wilkes,F,1986,2012
Los Angeles Clippers,Adrian Dantley,F,1977,2008
Los Angeles Clippers,Dominique Wilkins,F,1994,2006
Los Angeles Clippers,Moses Malone,C,1977,2001
Los Angeles Clippers,Bob McAdoo,C-F,1973-1977,2000
Los Angeles Clippers,Bill Walton,C,1980-1985,1993
Los Angeles Lakers,Pau Gasol,F-C,2007-2014,2023
Los Angeles Lakers,Lou Hudson,G-F,1978-1979,2022
Los Angeles Lakers,Kobe Bryant,G,1997-2016,2020
Los Angeles Lakers,Vlade Divac,C,"1990-1996, 2005",2019
Los Angeles Lakers,Charlie Scott,G,1978,2018
Los Angeles Lakers,Steve Nash,G,2012-2014,2018
Los Angeles Lakers,Shaquille O'Neal,C,1997-2004,2016
Los Angeles Lakers,Zelmo Beaty,C,1975,2016
Los Angeles Lakers,Spencer Haywood,F,1980,2015
Los Angeles Lakers,"Bobby ""Slick"" Leonard",G,1957-1961,2014
Los Angeles Lakers,Mitch Richmond,G,2002,2014
Los Angeles Lakers,Gary Payton,G,2004,2013
Los Angeles Lakers,Jamaal Wilkes,F,1978-1985,2012
Los Angeles Lakers,Dennis Rodman,F,1999,2011
Los Angeles Lakers,Karl Malone,F,2004,2010
Los Angeles Lakers,Adrian Dantley,F,1978-1979,2008
Los Angeles Lakers,James Worthy,F,1983-1994,2003
Los Angeles Lakers,Magic Johnson,G,"1980-1991, 1996",2002
Los Angeles Lakers,Bob McAdoo,C-F,1982-1985,2000
Los Angeles Lakers,Gail Goodrich,G,"1966-1968, 1971-1976",1996
Los Angeles Lakers,Kareem Abdul-Jabbar,C,1976-1989,1995
Los Angeles Lakers,Vern Mikkelsen,F,1950-1959,1995
Los Angeles Lakers,Connie Hawkins,F,1974-1975,1992
Los Angeles Lakers,Clyde Lovellette,C,1954-1957,1988
Los Angeles Lakers,Slater Martin,G,1950-1956,1982
Los Angeles Lakers,Jerry West,G,1961-1974,1980
Los Angeles Lakers,Wilt Chamberlain,C,1969-1973,1979
Los Angeles Lakers,Jim Pollard,F,1949-1955,1978
Los Angeles Lakers,Elgin Baylor,F,1959-1972,1977
Los Angeles Lakers,George Mikan,C,1949-1956,1959
Phoenix Suns,Paul Westphal,G,"1976-1980, 1984",2019
Phoenix Suns,Charlie Scott,G,1971-1975,2018
