Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
27,Chicago Bulls,65,15675,39.5,88.5,.447,12.2,35.1,.348,27.3,53.5,.511,15.5,20.5,.755,10.4,31.4,41.8,23.2,10.0,4.1,15.4,21.8,106.7,2019-2020
28,New York Knicks,66,15965,40.2,89.9,.447,9.6,28.5,.337,30.6,61.4,.499,16.4,23.6,.694,12.1,34.7,46.8,22.2,7.7,4.8,14.4,22.3,106.5,2019-2020
29,Charlotte Hornets,65,15750,38.6,88.8,.434,12.5,35.5,.352,26.1,53.4,.489,16.7,22.4,.748,11.4,32.9,44.2,24.6,6.8,4.3,15.1,19.5,106.3,2019-2020
30,Golden State Warriors,65,15725,38.2,87.2,.438,10.3,30.9,.334,27.9,56.3,.495,18.5,23.0,.803,9.8,32.5,42.4,25.3,8.1,4.5,14.7,19.8,105.2,2019-2020
1,Brooklyn Nets,72,17405,43.0,87.1,.494,14.1,36.0,.392,28.9,51.1,.565,18.1,22.5,.804,8.9,35.5,44.3,26.7,6.7,5.3,13.5,19.0,118.3,2020-2021
2,Portland Trail Blazers,72,17305,41.9,92.4,.453,16.0,41.4,.385,25.9,51.0,.509,18.1,22.0,.823,10.8,34.4,45.2,21.6,7.0,5.1,11.3,19.2,117.8,2020-2021
3,Utah Jazz,72,17355,41.7,89.0,.468,16.9,43.5,.389,24.8,45.6,.544,17.3,21.7,.799,10.7,38.0,48.8,23.9,6.7,5.2,14.4,18.7,117.6,2020-2021
4,Los Angeles Clippers,72,17280,43.1,89.4,.482,14.7,35.8,.411,28.4,53.6,.529,16.7,19.9,.839,9.7,35.8,45.5,25.2,7.3,4.2,13.6,19.8,117.6,2020-2021
5,Milwaukee Bucks,72,17330,43.6,89.6,.487,14.1,36.2,.389,29.6,53.4,.554,15.8,20.9,.760,10.0,36.9,46.9,24.9,7.9,4.5,13.5,16.9,117.2,2020-2021
6,Phoenix Suns,72,17480,44.0,89.8,.490,13.3,35.2,.378,30.8,54.6,.563,15.9,19.0,.834,8.9,34.8,43.7,27.4,7.3,4.4,12.7,19.4,117.2,2020-2021
7,Denver Nuggets,72,17480,44.0,90.8,.485,13.1,34.8,.377,30.9,56.0,.552,16.0,19.9,.803,10.7,34.5,45.2,27.3,8.2,4.6,13.7,19.4,117.1,2020-2021
8,Atlanta Hawks,72,17405,41.5,88.8,.468,12.6,33.9,.373,28.9,54.8,.526,20.0,24.7,.812,10.7,35.7,46.4,24.5,7.1,4.8,13.5,19.7,115.7,2020-2021
9,Dallas Mavericks,72,17305,42.2,89.6,.470,14.2,39.1,.362,28.0,50.5,.554,16.9,21.7,.778,9.4,35.1,44.5,23.5,6.4,4.4,12.4,19.9,115.4,2020-2021
10,Boston Celtics,72,17380,42.0,90.0,.466,13.8,36.8,.374,28.2,53.2,.530,16.3,21.0,.775,10.8,34.0,44.8,23.7,7.8,5.4,14.2,20.7,114.0,2020-2021
11,Sacramento Kings,72,17305,42.5,88.5,.481,12.1,33.3,.364,30.4,55.2,.551,16.4,22.0,.745,9.3,32.0,41.3,25.5,7.5,5.0,13.4,19.4,113.6,2020-2021
12,New Orleans Pelicans,72,17430,42.1,88.2,.477,10.5,30.1,.348,31.6,58.1,.544,18.8,25.8,.729,11.6,35.3,47.0,25.8,7.5,4.3,14.5,17.8,113.5,2020-2021
13,Philadelphia 76ers,72,17430,41.2,86.6,.476,11.2,30.0,.374,30.0,56.6,.531,19.5,25.4,.767,10.0,34.9,44.9,23.6,9.1,6.2,14.4,20.1,113.2,2020-2021
14,Indiana Pacers,72,17455,42.2,88.9,.474,12.0,33.1,.364,30.1,55.8,.540,16.0,20.2,.792,8.8,32.8,41.6,26.7,8.3,6.2,13.2,19.7,112.4,2020-2021
15,Toronto Raptors,72,17305,40.0,89.3,.448,14.6,39.6,.368,25.4,49.7,.512,17.5,21.5,.815,9.5,32.4,41.9,24.3,8.6,5.4,13.3,21.3,112.0,2020-2021
16,Memphis Grizzlies,72,17405,42.4,90.8,.467,11.0,31.0,.356,31.3,59.8,.525,16.3,21.1,.771,11.0,34.9,46.0,26.6,9.0,5.0,13.1,18.5,112.0,2020-2021
17,Washington Wizards,72,17405,41.2,86.7,.475,9.7,27.7,.351,31.5,59.1,.533,19.2,25.0,.769,9.2,33.9,43.1,24.3,7.0,3.9,13.7,20.6,111.2,2020-2021
18,Miami Heat,72,17380,40.4,86.2,.468,13.3,37.2,.358,27.0,48.9,.553,17.2,21.7,.790,8.3,34.4,42.7,27.1,8.1,4.1,14.5,19.5,111.2,2020-2021
19,Golden State Warriors,72,17305,40.3,86.1,.468,14.2,37.9,.376,26.1,48.3,.541,16.2,20.6,.785,7.8,34.3,42.0,27.0,8.0,4.6,14.7,20.7,111.1,2020-2021
20,Chicago Bulls,72,17380,42.3,89.0,.476,12.6,34.1,.370,29.7,54.9,.542,13.9,17.5,.791,9.7,35.5,45.1,26.9,6.7,4.2,15.2,19.0,111.1,2020-2021
21,San Antonio Spurs,72,17480,41.8,90.5,.462,9.9,28.4,.350,31.9,62.1,.514,17.4,22.0,.792,9.3,34.6,43.8,24.4,7.0,5.1,11.4,17.9,111.0,2020-2021
22,Charlotte Hornets,72,17355,40.4,89.0,.455,13.9,37.5,.369,26.6,51.5,.517,16.1,21.2,.761,10.7,33.6,44.3,27.2,7.9,4.8,15.0,18.3,110.9,2020-2021
23,New York Knicks,72,17430,40.7,89.3,.456,12.2,31.0,.392,28.6,58.3,.490,17.0,21.6,.784,10.0,36.7,46.6,22.1,7.3,5.2,13.4,21.1,110.6,2020-2021
24,Los Angeles Lakers,72,17455,40.8,86.4,.472,11.1,31.3,.354,29.7,55.0,.539,17.3,23.4,.739,9.7,34.7,44.4,24.7,7.8,5.4,15.3,19.2,109.9,2020-2021
25,Minnesota Timberwolves,72,17405,39.8,88.8,.448,12.8,36.7,.349,27.0,52.1,.518,17.2,22.6,.761,10.3,32.2,42.5,25.0,8.6,5.4,13.9,20.4,109.5,2020-2021
26,Detroit Pistons,72,17430,39.2,86.7,.452,11.7,33.3,.351,27.5,53.4,.515,18.0,23.7,.759,9.8,33.5,43.3,24.5,7.5,5.2,15.1,20.8,108.0,2020-2021
27,Houston Rockets,72,17305,38.6,87.1,.444,13.6,40.0,.339,25.1,47.2,.532,16.3,22.0,.740,9.2,32.8,41.9,23.2,7.5,4.9,14.5,19.2,107.1,2020-2021
28,Cleveland Cavaliers,72,17430,39.3,87.4,.450,10.2,30.3,.336,29.1,57.1,.510,17.0,22.8,.743,10.6,32.9,43.5,24.3,7.9,4.6,15.8,18.5,105.8,2020-2021
29,Orlando Magic,72,17330,38.7,90.2,.429,11.0,32.1,.343,27.7,58.0,.476,16.8,21.7,.775,10.5,35.4,45.9,22.1,7.0,4.5,13.0,17.4,105.1,2020-2021
30,Oklahoma City Thunder,72,17355,38.3,86.8,.441,11.7,34.6,.339,26.5,52.2,.509,15.2,21.0,.725,9.8,35.2,45.0,21.7,6.9,4.3,15.9,17.9,103.5,2020-2021
1,Utah Jazz,82,19730,41.7,88.5,.471,14.9,41.4,.360,26.7,47.1,.568,18.4,24.0,.767,11.1,36.5,47.6,23.0,7.4,5.0,14.4,19.4,116.7,2021-2022
2,Atlanta Hawks,82,19705,42.4,90.3,.470,13.2,35.2,.374,29.2,55.1,.531,18.5,22.8,.812,10.3,34.7,45.0,25.2,7.3,4.3,12.1,19.1,116.5,2021-2022
3,Milwaukee Bucks,82,19755,41.7,89.1,.468,14.0,38.3,.366,27.7,50.8,.544,17.7,22.9,.776,10.2,36.3,46.6,23.8,7.6,4.0,13.4,18.2,115.1,2021-2022
4,Phoenix Suns,82,19730,43.7,90.1,.485,11.6,31.9,.364,32.1,58.2,.551,15.9,19.9,.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,2021-2022
5,Memphis Grizzlies,82,19780,43.2,93.6,.461,11.4,32.4,.353,31.8,61.2,.519,16.8,23.0,.734,14.0,34.7,48.8,25.8,9.7,6.4,13.1,19.6,114.6,2021-2022
6,Denver Nuggets,82,19805,42.3,87.7,.483,12.9,36.5,.353,29.4,51.2,.575,17.0,21.4,.795,9.3,35.5,44.8,28.2,7.3,3.8,14.7,20.3,114.5,2021-2022
7,Boston Celtics,82,19905,41.7,89.5,.466,13.5,38.0,.356,28.2,51.5,.547,17.4,21.4,.816,10.8,36.4,47.2,25.4,7.4,6.0,14.0,19.0,114.4,2021-2022
8,Minnesota Timberwolves,82,19780,41.0,89.7,.457,14.6,40.7,.358,26.5,49.0,.540,17.7,22.8,.778,11.1,32.5,43.5,25.3,8.7,5.5,14.1,21.5,114.3,2021-2022
9,Charlotte Hornets,82,19880,42.3,90.5,.468,13.8,37.8,.365,28.5,52.7,.542,15.7,21.2,.740,10.7,33.4,44.1,27.8,8.5,4.9,13.1,19.7,114.1,2021-2022
10,Miami Heat,82,19855,40.9,87.6,.467,14.0,37.0,.379,26.9,50.6,.531,17.8,22.1,.808,10.2,35.0,45.2,26.3,7.6,3.3,15.0,21.2,113.7,2021-2022
11,Brooklyn Nets,82,19755,42.2,89.0,.475,11.5,31.9,.361,30.7,57.0,.538,17.6,21.9,.805,10.4,34.3,44.7,25.4,7.1,5.5,14.1,20.5,113.6,2021-2022
12,Philadelphia 76ers,82,19805,40.7,87.3,.466,12.0,32.8,.364,28.7,54.4,.527,20.2,24.6,.821,8.8,34.9,43.7,24.5,8.0,5.5,12.9,20.0,113.5,2021-2022
13,Chicago Bulls,82,19730,42.3,88.2,.480,10.8,29.3,.369,31.6,58.9,.535,17.8,21.9,.813,8.8,34.2,42.9,24.2,7.2,4.2,13.0,19.1,113.2,2021-2022
14,Toronto Raptors,82,19855,41.9,94.3,.445,12.3,35.3,.349,29.6,58.9,.503,16.7,22.0,.759,13.8,33.0,46.8,22.8,9.3,4.7,12.9,20.2,112.9,2021-2022
15,Dallas Mavericks,82,19755,41.0,88.9,.461,13.7,39.0,.350,27.4,49.9,.548,17.1,22.2,.771,9.7,35.3,44.9,24.4,7.0,4.1,13.1,20.5,112.8,2021-2022
