Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Cleveland Cavaliers,35,47,0.427,26.0,92.9,95.5,-3.07,2004
Toronto Raptors,33,49,0.402,28.0,85.4,88.5,-3.42,2004
Atlanta Hawks,28,54,0.341,33.0,92.8,97.5,-5.0,2004
Chicago Bulls,23,59,0.28,38.0,89.7,96.0,-6.69,2004
Boston Celtics,45,37,0.549,0.0,101.3,100.4,0.35,2005
Philadelphia 76ers,43,39,0.524,2.0,99.1,99.9,-1.07,2005
New Jersey Nets,42,40,0.512,3.0,91.4,92.9,-1.82,2005
Toronto Raptors,33,49,0.402,12.0,99.7,101.4,-1.81,2005
New York Knicks,33,49,0.402,12.0,97.3,99.7,-2.72,2005
Detroit Pistons,54,28,0.659,0.0,93.3,89.5,3.31,2005
Chicago Bulls,47,35,0.573,7.0,94.5,93.4,0.65,2005
Indiana Pacers,44,38,0.537,10.0,93.0,92.2,0.49,2005
Cleveland Cavaliers,42,40,0.512,12.0,96.5,95.7,0.27,2005
Milwaukee Bucks,30,52,0.366,24.0,97.2,100.2,-3.09,2005
Miami Heat,59,23,0.72,0.0,101.5,95.0,5.77,2005
Washington Wizards,45,37,0.549,14.0,100.5,100.8,-0.71,2005
Orlando Magic,36,46,0.439,23.0,99.5,101.8,-2.52,2005
Charlotte Bobcats,18,64,0.22,41.0,94.3,100.2,-6.15,2005
Atlanta Hawks,13,69,0.159,46.0,92.7,102.5,-9.62,2005
New Jersey Nets,49,33,0.598,0.0,93.8,92.4,1.11,2006
Philadelphia 76ers,38,44,0.463,11.0,99.4,101.3,-2.1,2006
Boston Celtics,33,49,0.402,16.0,98.0,99.5,-1.59,2006
Toronto Raptors,27,55,0.329,22.0,101.1,104.0,-3.03,2006
New York Knicks,23,59,0.28,26.0,95.6,102.0,-6.3,2006
Detroit Pistons,64,18,0.78,0.0,96.8,90.2,6.24,2006
Cleveland Cavaliers,50,32,0.61,14.0,97.6,95.4,2.17,2006
Indiana Pacers,41,41,0.5,23.0,93.9,92.0,1.62,2006
