Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Denver Nuggets,49,33,0.598,3.0,99.5,97.5,2.23,2005
Minnesota Timberwolves,44,38,0.537,8.0,96.8,95.3,1.73,2005
Portland Trail Blazers,27,55,0.329,25.0,92.9,96.9,-3.45,2005
Utah Jazz,26,56,0.317,26.0,93.0,97.3,-3.74,2005
Phoenix Suns,62,20,0.756,0.0,110.4,103.3,7.08,2005
Sacramento Kings,50,32,0.61,12.0,103.7,101.6,2.56,2005
Los Angeles Clippers,37,45,0.451,25.0,95.7,96.5,-0.47,2005
Los Angeles Lakers,34,48,0.415,28.0,98.7,101.7,-2.32,2005
Golden State Warriors,34,48,0.415,28.0,98.7,100.9,-1.74,2005
San Antonio Spurs,59,23,0.72,0.0,96.2,88.4,7.84,2005
Dallas Mavericks,58,24,0.707,1.0,102.5,96.8,5.86,2005
Houston Rockets,51,31,0.622,8.0,95.1,91.0,4.27,2005
Memphis Grizzlies,45,37,0.549,14.0,93.4,91.1,2.64,2005
New Orleans Hornets,18,64,0.22,41.0,88.4,95.5,-6.3,2005
Denver Nuggets,44,38,0.537,0.0,100.3,100.1,0.36,2006
Utah Jazz,41,41,0.5,3.0,92.4,95.0,-2.49,2006
Seattle SuperSonics,35,47,0.427,9.0,102.6,105.6,-2.88,2006
Minnesota Timberwolves,33,49,0.402,11.0,91.7,93.6,-1.75,2006
Portland Trail Blazers,21,61,0.256,23.0,88.8,98.3,-8.91,2006
Phoenix Suns,54,28,0.659,0.0,108.4,102.8,5.48,2006
Los Angeles Clippers,47,35,0.573,7.0,97.2,95.6,1.75,2006
Los Angeles Lakers,45,37,0.549,9.0,99.4,96.9,2.53,2006
Sacramento Kings,44,38,0.537,10.0,98.9,97.3,1.61,2006
Golden State Warriors,34,48,0.415,20.0,98.5,99.8,-1.11,2006
San Antonio Spurs,63,19,0.768,0.0,95.6,88.8,6.69,2006
Dallas Mavericks,60,22,0.732,3.0,99.1,93.1,5.96,2006
Memphis Grizzlies,49,33,0.598,14.0,92.2,88.5,3.74,2006
New Orleans/Oklahoma City Hornets,38,44,0.463,25.0,92.8,95.6,-2.51,2006
Houston Rockets,34,48,0.415,29.0,90.1,91.7,-1.3,2006
Utah Jazz,51,31,0.622,0.0,101.5,98.6,3.06,2007
Denver Nuggets,45,37,0.549,6.0,105.4,103.7,1.69,2007
Portland Trail Blazers,32,50,0.39,19.0,94.1,98.4,-3.78,2007
Minnesota Timberwolves,32,50,0.39,19.0,96.1,99.7,-3.16,2007
Seattle SuperSonics,31,51,0.378,20.0,99.1,102.0,-2.45,2007
Phoenix Suns,61,21,0.744,0.0,110.2,102.9,7.28,2007
Los Angeles Lakers,42,40,0.512,19.0,103.3,103.4,0.24,2007
Golden State Warriors,42,40,0.512,19.0,106.5,106.9,0.0,2007
Los Angeles Clippers,40,42,0.488,21.0,95.6,96.1,-0.07,2007
Sacramento Kings,33,49,0.402,28.0,101.3,103.1,-1.35,2007
Dallas Mavericks,67,15,0.817,0.0,100.0,92.8,7.28,2007
San Antonio Spurs,58,24,0.707,9.0,98.5,90.1,8.35,2007
Houston Rockets,52,30,0.634,15.0,97.0,92.1,5.04,2007
New Orleans/Oklahoma City Hornets,39,43,0.476,28.0,95.5,97.1,-1.19,2007
Memphis Grizzlies,22,60,0.268,45.0,101.6,106.7,-4.44,2007
Utah Jazz,54,28,0.659,0.0,106.2,99.3,6.86,2008
Denver Nuggets,50,32,0.61,4.0,110.7,107.0,3.74,2008
Portland Trail Blazers,41,41,0.5,13.0,95.4,96.3,-0.52,2008
Minnesota Timberwolves,22,60,0.268,32.0,95.6,102.4,-6.26,2008
Seattle SuperSonics,20,62,0.244,34.0,97.5,106.3,-8.04,2008
Los Angeles Lakers,57,25,0.695,0.0,108.6,101.3,7.34,2008
Phoenix Suns,55,27,0.671,2.0,110.1,105.0,5.14,2008
Golden State Warriors,48,34,0.585,9.0,111.0,108.8,2.38,2008
Sacramento Kings,38,44,0.463,19.0,102.5,104.8,-1.86,2008
Los Angeles Clippers,23,59,0.28,34.0,93.8,101.1,-6.56,2008
New Orleans Hornets,56,26,0.683,0.0,100.9,95.6,5.46,2008
San Antonio Spurs,56,26,0.683,0.0,95.4,90.6,5.1,2008
