Season,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
2020-21,24,HOU,NBA,SG,5,2,153,32,66,.485,9,27,.333,23,39,.590,.553,9,9,1.000,7,11,18,25,9,6,6,8,Khyri Thomas
2023-24,21,HOU,NBA,SF,62,23,1388,239,446,.536,8,58,.138,231,388,.595,.545,106,155,.684,148,261,409,163,78,38,90,141,Amen Thompson
2024-25,22,HOU,NBA,SF,31,5,859,146,262,.557,11,41,.268,135,221,.611,.578,74,106,.698,76,146,222,66,34,35,59,71,Amen Thompson
2023-24,21,DET,NBA,SF,63,38,1583,232,480,.483,21,113,.186,211,367,.575,.505,71,119,.597,129,273,402,120,68,59,84,175,Ausar Thompson
2024-25,22,DET,NBA,SF,11,3,185,34,72,.472,4,16,.250,30,56,.536,.500,9,17,.529,14,30,44,20,9,4,15,31,Ausar Thompson
2011-12,21,GSW,NBA,SG,66,29,1608,318,718,.443,111,268,.414,207,450,.460,.520,79,91,.868,24,137,161,133,49,20,103,155,Klay Thompson
2012-13,22,GSW,NBA,SG,82,82,2936,508,1205,.422,211,526,.401,297,679,.437,.509,132,157,.841,32,274,306,183,86,45,157,237,Klay Thompson
2013-14,23,GSW,NBA,SG,81,81,2868,559,1259,.444,223,535,.417,336,724,.464,.533,147,185,.795,38,211,249,181,74,37,135,234,Klay Thompson
2014-15,24,GSW,NBA,SG,77,77,2455,602,1299,.463,239,545,.439,363,754,.481,.555,225,256,.879,27,220,247,222,87,60,149,122,Klay Thompson
2015-16,25,GSW,NBA,SG,80,80,2666,651,1386,.470,276,650,.425,375,736,.510,.569,193,221,.873,35,271,306,166,60,49,138,152,Klay Thompson
2016-17,26,GSW,NBA,SG,78,78,2649,644,1376,.468,268,647,.414,376,729,.516,.565,186,218,.853,49,236,285,160,66,40,128,139,Klay Thompson
2017-18,27,GSW,NBA,SG,73,73,2506,575,1179,.488,229,521,.440,346,658,.526,.585,82,98,.837,31,246,277,185,55,34,128,117,Klay Thompson
2018-19,28,GSW,NBA,SG,78,78,2652,655,1402,.467,241,599,.402,414,803,.516,.553,129,158,.816,37,262,299,186,84,47,115,157,Klay Thompson
2021-22,31,GSW,NBA,SG,32,32,941,246,573,.429,114,296,.385,132,277,.477,.529,46,51,.902,15,110,125,88,16,17,43,54,Klay Thompson
2022-23,32,GSW,NBA,SF,69,69,2279,546,1252,.436,301,731,.412,245,521,.470,.556,116,132,.879,39,247,286,163,49,29,123,130,Klay Thompson
2023-24,33,GSW,NBA,SF,77,63,2284,490,1133,.432,268,692,.387,222,441,.503,.551,127,137,.927,35,219,254,176,50,35,117,127,Klay Thompson
2024-25,34,DAL,NBA,SF,27,27,740,137,324,.423,82,213,.385,55,111,.495,.549,26,29,.897,17,78,95,52,26,11,32,36,Klay Thompson
