Season,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
2023-24,25,3TM,NBA,PG,69,0,876,136,325,.418,56,169,.331,80,156,.513,.505,52,71,.732,21,93,114,130,38,8,63,66,Malachi Flynn
2023-24,25,TOR,NBA,PG,31,0,474,56,137,.409,28,80,.350,28,57,.491,.511,17,22,.773,13,52,65,73,18,6,33,42,Malachi Flynn
2023-24,25,NYK,NBA,PG,14,0,60,9,23,.391,4,13,.308,5,10,.500,.478,9,11,.818,0,6,6,6,1,0,3,3,Malachi Flynn
2023-24,25,DET,NBA,PG,24,0,342,71,165,.430,24,76,.316,47,89,.528,.503,26,38,.684,8,35,43,51,19,2,27,21,Malachi Flynn
2022-23,27,UTA,NBA,SF,52,6,766,115,312,.369,63,191,.330,52,121,.430,.470,35,44,.795,31,55,86,42,15,8,39,62,Simone Fontecchio
2023-24,28,2TM,NBA,SF,66,43,1644,252,548,.460,134,334,.401,118,214,.551,.582,54,66,.818,64,182,246,101,44,23,68,110,Simone Fontecchio
2023-24,28,UTA,NBA,SF,50,34,1160,161,358,.450,91,233,.391,70,125,.560,.577,32,40,.800,52,124,176,73,30,18,51,81,Simone Fontecchio
2023-24,28,DET,NBA,SF,16,9,484,91,190,.479,43,101,.426,48,89,.539,.592,22,26,.846,12,58,70,28,14,5,17,29,Simone Fontecchio
2024-25,29,DET,NBA,SF,29,0,523,61,147,.415,34,97,.351,27,50,.540,.531,34,41,.829,16,65,81,25,10,5,24,38,Simone Fontecchio
2016-17,23,SAS,NBA,SG,36,0,285,36,99,.364,17,53,.321,19,46,.413,.449,5,6,.833,2,21,23,23,1,0,11,20,Bryn Forbes
2017-18,24,SAS,NBA,SG,80,12,1517,209,497,.421,89,228,.390,120,269,.446,.510,48,72,.667,12,98,110,80,28,2,37,108,Bryn Forbes
2018-19,25,SAS,NBA,SG,82,81,2293,361,791,.456,176,413,.426,185,378,.489,.568,69,78,.885,18,221,239,175,45,4,80,159,Bryn Forbes
2019-20,26,SAS,NBA,SG,63,62,1579,242,581,.417,148,381,.388,94,200,.470,.544,75,90,.833,12,114,126,108,33,0,57,113,Bryn Forbes
2020-21,27,MIL,NBA,SG,70,10,1354,250,529,.473,154,341,.452,96,188,.511,.618,47,61,.770,11,101,112,45,24,1,44,77,Bryn Forbes
2021-22,28,2TM,NBA,SG,75,2,1286,231,539,.429,122,295,.414,109,244,.447,.542,79,87,.908,10,83,93,75,25,5,56,95,Bryn Forbes
2021-22,28,SAS,NBA,SG,40,1,676,128,296,.432,63,151,.417,65,145,.448,.539,44,49,.898,4,59,63,41,17,3,33,42,Bryn Forbes
2021-22,28,DEN,NBA,SG,35,1,610,103,243,.424,59,144,.410,44,99,.444,.545,35,38,.921,6,24,30,34,8,2,23,53,Bryn Forbes
2022-23,29,MIN,NBA,SG,25,0,268,30,83,.361,14,46,.304,16,37,.432,.446,15,15,1.000,4,11,15,17,7,2,12,22,Bryn Forbes
2021-22,24,ORL,NBA,SF,5,0,74,6,20,.300,2,15,.133,4,5,.800,.350,0,0,2,13,15,2,1,0,4,7,14,Aleem Ford
2023-24,25,SAC,NBA,PG,6,0,22,4,7,.571,2,3,.667,2,4,.500,.714,2,2,1.000,0,2,2,2,0,0,1,0,Jordan Ford
2020-21,22,UTA,NBA,PG,30,0,302,32,71,.451,5,26,.192,27,45,.600,.486,19,19,1.000,11,33,44,45,9,4,21,22,Trent Forrest
2021-22,23,UTA,NBA,PG,60,6,765,76,155,.490,5,27,.185,71,128,.555,.506,38,48,.792,23,76,99,106,30,6,48,43,Trent Forrest
2022-23,24,ATL,NBA,SG,23,3,277,25,60,.417,0,2,.000,25,58,.431,.417,2,3,.667,5,32,37,38,7,2,15,17,Trent Forrest
2023-24,25,ATL,NBA,SG,38,0,414,34,90,.378,2,10,.200,32,80,.400,.389,13,17,.765,11,40,51,92,11,3,20,25,Trent Forrest
2012-13,20,DEN,NBA,SG,38,4,428,75,152,.493,22,54,.407,53,98,.541,.566,30,39,.769,6,29,35,44,19,1,32,65,Evan Fournier
2013-14,21,DEN,NBA,SG,76,4,1503,228,544,.419,89,237,.376,139,307,.453,.501,93,123,.756,34,168,202,112,34,7,100,179,Evan Fournier
2014-15,22,ORL,NBA,SG,58,32,1661,253,575,.440,85,225,.378,168,350,.480,.514,107,147,.728,28,125,153,120,40,2,82,116,Evan Fournier
2015-16,23,ORL,NBA,SF,79,71,2566,429,929,.462,156,390,.400,273,539,.506,.546,199,238,.836,33,192,225,213,96,2,133,214,Evan Fournier
2016-17,24,ORL,NBA,SG,68,66,2234,408,930,.439,128,360,.356,280,570,.491,.508,223,277,.805,44,165,209,202,66,4,141,180,Evan Fournier
2017-18,25,ORL,NBA,SF,57,57,1837,368,802,.459,127,335,.379,241,467,.516,.538,150,173,.867,23,157,180,165,47,16,95,138,Evan Fournier
2018-19,26,ORL,NBA,SG,81,81,2553,468,1069,.438,153,450,.340,315,619,.509,.509,137,170,.806,38,220,258,295,71,12,154,225,Evan Fournier
2019-20,27,ORL,NBA,SF,66,66,2076,434,929,.467,173,434,.399,261,495,.527,.560,180,220,.818,18,153,171,209,71,15,125,161,Evan Fournier
2020-21,28,2TM,NBA,SF,42,36,1259,247,541,.457,117,283,.413,130,258,.504,.565,108,137,.788,10,118,128,144,47,19,73,96,Evan Fournier
2020-21,28,ORL,NBA,SF,26,26,787,170,369,.461,73,188,.388,97,181,.536,.560,98,123,.797,5,70,75,95,27,9,54,55,Evan Fournier
2020-21,28,BOS,NBA,SF,16,10,472,77,172,.448,44,95,.463,33,77,.429,.576,10,14,.714,5,48,53,49,20,10,19,41,Evan Fournier
2021-22,29,NYK,NBA,SG,80,80,2358,402,965,.417,241,619,.389,161,346,.465,.541,80,113,.708,34,176,210,171,79,20,105,180,Evan Fournier
2022-23,30,NYK,NBA,SG,27,7,459,56,166,.337,35,114,.307,21,52,.404,.443,18,21,.857,4,45,49,36,16,3,22,46,Evan Fournier
2023-24,31,2TM,NBA,SG,32,0,580,79,221,.357,33,130,.254,46,91,.505,.432,29,36,.806,5,53,58,48,29,7,21,48,Evan Fournier
2023-24,31,NYK,NBA,SG,3,0,39,4,20,.200,2,15,.133,2,5,.400,.250,2,2,1.000,0,4,4,3,4,0,1,4,Evan Fournier
2023-24,31,DET,NBA,SG,29,0,541,75,201,.373,31,115,.270,44,86,.512,.450,27,34,.794,5,49,54,45,25,7,20,44,Evan Fournier
2017-18,20,SAC,NBA,PG,73,61,2026,328,797,.412,47,153,.307,281,644,.436,.441,141,195,.723,33,171,204,320,70,20,173,163,De'Aaron Fox
