Team Name,Record Type,Player,Player Link,Stat Value
PORTLAND TRAIL BLAZERS,Total Assists,Terry Porter,https://www.nba.com/player/345/,5319
PORTLAND TRAIL BLAZERS,Total Rebounds,LaMarcus Aldridge,https://www.nba.com/player/200746/,5434
PORTLAND TRAIL BLAZERS,Total Blocks,Mychal Thompson,https://www.nba.com/player/78331/,768
PORTLAND TRAIL BLAZERS,Total Steals,Clyde Drexler,https://www.nba.com/player/17/,1795
UTAH JAZZ,Total Points,Karl Malone,https://www.nba.com/player/252/,36374
UTAH JAZZ,Total Assists,John Stockton,https://www.nba.com/player/304/,15806
UTAH JAZZ,Total Rebounds,Karl Malone,https://www.nba.com/player/252/,14601
UTAH JAZZ,Total Blocks,Mark Eaton,https://www.nba.com/player/76631/,3064
UTAH JAZZ,Total Steals,John Stockton,https://www.nba.com/player/304/,3265
GOLDEN STATE WARRIORS,Total Points,Stephen Curry,https://www.nba.com/player/201939/,23921
GOLDEN STATE WARRIORS,Total Assists,Stephen Curry,https://www.nba.com/player/201939/,6191
GOLDEN STATE WARRIORS,Total Rebounds,Nate Thurmond,https://www.nba.com/player/600001/,12771
GOLDEN STATE WARRIORS,Total Blocks,Adonal Foyle,https://www.nba.com/player/1502/,1140
GOLDEN STATE WARRIORS,Total Steals,Stephen Curry,https://www.nba.com/player/201939/,1493
LA CLIPPERS,Total Points,Randy Smith,https://www.nba.com/player/78200/,12735
LA CLIPPERS,Total Assists,Chris Paul,https://www.nba.com/player/101108/,4023
LA CLIPPERS,Total Rebounds,DeAndre Jordan,https://www.nba.com/player/201599/,7988
LA CLIPPERS,Total Blocks,DeAndre Jordan,https://www.nba.com/player/201599/,1276
LA CLIPPERS,Total Steals,Randy Smith,https://www.nba.com/player/78200/,1072
LOS ANGELES LAKERS,Total Points,Kobe Bryant,https://www.nba.com/player/977/,33643
LOS ANGELES LAKERS,Total Assists,Magic Johnson,https://www.nba.com/player/77142/,10141
LOS ANGELES LAKERS,Total Rebounds,Elgin Baylor,https://www.nba.com/player/76127/,11463
LOS ANGELES LAKERS,Total Blocks,Kareem Abdul-Jabbar,https://www.nba.com/player/76003/,2694
LOS ANGELES LAKERS,Total Steals,Kobe Bryant,https://www.nba.com/player/977/,1944
PHOENIX SUNS,Total Points,Walter Davis,https://www.nba.com/player/1453/,15666
PHOENIX SUNS,Total Assists,Steve Nash,https://www.nba.com/player/959/,6997
PHOENIX SUNS,Total Rebounds,Alvan Adams,https://www.nba.com/player/76011/,6937
PHOENIX SUNS,Total Blocks,Larry Nance,https://www.nba.com/player/77685/,940
PHOENIX SUNS,Total Steals,Alvan Adams,https://www.nba.com/player/76011/,1289
SACRAMENTO KINGS,Total Points,Oscar Robertson,https://www.nba.com/player/600015/,22009
SACRAMENTO KINGS,Total Assists,Oscar Robertson,https://www.nba.com/player/600015/,7731
SACRAMENTO KINGS,Total Rebounds,Sam Lacey,https://www.nba.com/player/77326/,9353
SACRAMENTO KINGS,Total Blocks,Sam Lacey,https://www.nba.com/player/77326/,1098
SACRAMENTO KINGS,Total Steals,Sam Lacey,https://www.nba.com/player/77326/,950
DALLAS MAVERICKS,Total Points,Dirk Nowitzki,https://www.nba.com/player/1717/,31560
DALLAS MAVERICKS,Total Assists,Derek Harper,https://www.nba.com/player/157/,5111
DALLAS MAVERICKS,Total Rebounds,Dirk Nowitzki,https://www.nba.com/player/1717/,11489
DALLAS MAVERICKS,Total Blocks,Dirk Nowitzki,https://www.nba.com/player/1717/,1281
DALLAS MAVERICKS,Total Steals,Derek Harper,https://www.nba.com/player/157/,1551
HOUSTON ROCKETS,Total Points,Hakeem Olajuwon,https://www.nba.com/player/165/,26511
HOUSTON ROCKETS,Total Assists,James Harden,https://www.nba.com/player/201935/,4796
HOUSTON ROCKETS,Total Rebounds,Hakeem Olajuwon,https://www.nba.com/player/165/,13382
HOUSTON ROCKETS,Total Blocks,Hakeem Olajuwon,https://www.nba.com/player/165/,3740
HOUSTON ROCKETS,Total Steals,Hakeem Olajuwon,https://www.nba.com/player/165/,2088
MEMPHIS GRIZZLIES,Total Points,Mike Conley,https://www.nba.com/player/201144/,11733
MEMPHIS GRIZZLIES,Total Assists,Mike Conley,https://www.nba.com/player/201144/,4509
MEMPHIS GRIZZLIES,Total Rebounds,Marc Gasol,https://www.nba.com/player/201188/,5942
MEMPHIS GRIZZLIES,Total Blocks,Marc Gasol,https://www.nba.com/player/201188/,1135
MEMPHIS GRIZZLIES,Total Steals,Mike Conley,https://www.nba.com/player/201144/,1161
NEW ORLEANS PELICANS,Total Points,Anthony Davis,https://www.nba.com/player/203076/,11059
NEW ORLEANS PELICANS,Total Assists,Chris Paul,https://www.nba.com/player/101108/,4228
NEW ORLEANS PELICANS,Total Rebounds,Anthony Davis,https://www.nba.com/player/203076/,4905
NEW ORLEANS PELICANS,Total Blocks,Anthony Davis,https://www.nba.com/player/203076/,1121
NEW ORLEANS PELICANS,Total Steals,Chris Paul,https://www.nba.com/player/101108/,1010
SAN ANTONIO SPURS,Total Points,Tim Duncan,https://www.nba.com/player/1495/,26496
SAN ANTONIO SPURS,Total Assists,Tony Parker,https://www.nba.com/player/2225/,6829
SAN ANTONIO SPURS,Total Rebounds,Tim Duncan,https://www.nba.com/player/1495/,15091
SAN ANTONIO SPURS,Total Blocks,Tim Duncan,https://www.nba.com/player/1495/,3020
SAN ANTONIO SPURS,Total Steals,Manu Ginobili,https://www.nba.com/player/1938/,1392
