Team Name,Player Link,Player,#,Pos,Seasons With Team,Year of Induction
MIAMI HEAT,https://www.nba.com/player/297,Alonzo Mourning,33,C,"1996-2002, 2006-2008",2009
MIAMI HEAT,https://www.nba.com/player/896,Tim Hardaway,10,G,1997-2001,2009
MIAMI HEAT,https://www.nba.com/player/893,Michael Jordan,23,G,,2005
ORLANDO MAGIC,,Sixth Man,6,,,2000
WASHINGTON WIZARDS,https://www.nba.com/player/76386,Phil Chenier,45,G,1972-1979,2018
WASHINGTON WIZARDS,https://www.nba.com/player/600006,Earl Monroe,10,G,1968-1972,2007
WASHINGTON WIZARDS,https://www.nba.com/player/77150,Gus Johnson,25,F,1964-1972,1986
WASHINGTON WIZARDS,https://www.nba.com/player/76979,Elvin Hayes,11,F,1973-1981,1981
WASHINGTON WIZARDS,https://www.nba.com/player/78392,Wes Unseld,41,C,1969-1981,1981
DENVER NUGGETS,https://www.nba.com/player/77376,Fat Lever,12,G,1984-1990,2017
DENVER NUGGETS,https://www.nba.com/player/87,Dikembe Mutombo,55,C,1992-1996,2016
DENVER NUGGETS,,Doug Moe,432,Coach,1981-1990,2002
DENVER NUGGETS,https://www.nba.com/player/76673,Alex English,2,F,1980-1990,1993
DENVER NUGGETS,https://www.nba.com/player/78326,David Thompson,33,G,1976-1982,1992
DENVER NUGGETS,https://www.nba.com/player/77097,Dan Issel,44,C,1976-1985,1985
DENVER NUGGETS,https://www.nba.com/player/76134,Byron Beck,40,F/C,1968-1977,1977
MINNESOTA TIMBERWOLVES,https://www.nba.com/player/907,Malik Sealy,2,F,2000,2000
OKLAHOMA CITY THUNDER,https://www.nba.com/player/2555,Nick Collison,4,F-C,2004-2018,2019
OKLAHOMA CITY THUNDER,https://www.nba.com/player/76981,Spencer Haywood,24,F,1971-1975,2007
OKLAHOMA CITY THUNDER,https://www.nba.com/player/78549,Gus Williams,1,G,1978-1984,2004
OKLAHOMA CITY THUNDER,https://www.nba.com/player/203,Nate McMillan,10,G,1987-1998,1999
OKLAHOMA CITY THUNDER,,Bob Blackburn,,Broadcaster,1968-1992,1993
OKLAHOMA CITY THUNDER,https://www.nba.com/player/78149,Jack Sikma,43,C,1978-1986,1992
OKLAHOMA CITY THUNDER,https://www.nba.com/player/76272,Fred Brown,32,G,1972-1984,1986
OKLAHOMA CITY THUNDER,https://www.nba.com/player/78530,Lenny Wilkens,19,G - Coach,"1969-1972, 1978-1985",1979
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/76895,Bob Gross,30,F,1976-1982,2008
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/345,Terry Porter,30,G,1986-1995,2008
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/77043,Lionel Hollins,14,G,1976-1980,2007
PORTLAND TRAIL BLAZERS,,Bill Schonely,,Broadcaster,1970-1998,2003
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/17,Clyde Drexler,22,G,1984-1995,2001
PORTLAND TRAIL BLAZERS,,Jack Ramsay,77,Coach,1977-1986,1993
PORTLAND TRAIL BLAZERS,,Larry Weinberg,1,Owner,1970-1988,1992
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/78450,Bill Walton,32,C,1975-1978,1989
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/77420,Maurice Lucas,20,F,"1977-1980, 1988",1987
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/78387,Dave Twardzik,13,G,1977-1980,1981
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/77844,Geoff Petrie,45,G-F,1971-1976,1981
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/78245,Larry Steele,15,G,1972-1980,1981
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/77696,Lloyd Neal,36,F-C,1973-1979,1979
UTAH JAZZ,https://www.nba.com/player/78173,Jerry Sloan,,Coach,1988-2011,2014
UTAH JAZZ,,Larry Miller,9,Owner,1985-2009,2010
UTAH JAZZ,https://www.nba.com/player/77082,Rod Hundley,,Broadcaster,1975-2009,2010
UTAH JAZZ,https://www.nba.com/player/76504,Adrian Dantley,4,F,1980-1986,2007
