#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
153,Jalen Wilson,BKN,15,22.5,9.2,3.1,6.9,45.2,1.3,3.7,34.5,1.7,1.9,86.2,1.1,2.2,3.3,1.8,0.3,0.0,1.0,9.5
153,Ziaire Williams,BKN,15,21.5,9.2,3.4,7.8,43.6,0.9,3.3,28.0,1.5,1.8,81.5,1.1,3.5,4.5,1.1,0.9,0.5,0.9,10.6
155,Cody Martin,CHA,15,25.2,9.1,3.3,6.9,48.1,1.5,3.4,43.1,1.0,1.5,68.2,1.2,3.1,4.3,1.9,1.0,0.7,1.0,12.0
156,Jay Huff,MEM,16,14.4,9.1,3.3,5.9,54.7,1.6,3.8,42.6,1.0,1.2,84.2,0.6,1.8,2.3,0.8,0.3,1.6,0.6,10.6
157,Draymond Green,GSW,14,28.1,9.1,2.9,6.5,45.1,1.5,3.5,42.9,1.7,2.5,68.6,0.7,5.1,5.9,5.7,1.1,1.1,2.1,16.4
158,Naji Marshall,DAL,15,23.5,9.1,3.6,7.1,50.9,0.3,2.0,13.3,1.6,1.7,96.0,1.1,2.3,3.4,2.9,1.2,0.1,1.2,11.9
158,Toumani Camara,POR,15,31.7,9.1,3.3,7.6,43.9,1.5,3.5,41.5,0.9,1.3,73.7,2.3,2.9,5.3,2.2,1.7,0.3,1.8,12.2
160,Isaiah Joe,OKC,14,22.1,9.0,3.1,7.7,40.7,2.3,6.3,36.4,0.4,0.6,75.0,0.7,2.4,3.1,1.7,0.7,0.3,0.3,9.9
161,Jusuf Nurkić,PHX,14,24.4,8.9,2.9,7.1,40.4,0.9,3.1,30.2,2.3,3.5,65.3,1.9,8.1,10.0,1.2,1.0,0.6,2.6,13.8
162,Jake LaRavia,MEM,16,24.9,8.9,3.1,6.3,49.5,0.9,2.3,40.5,1.7,2.5,67.5,1.7,3.5,5.2,3.8,0.9,0.8,1.4,14.2
163,Jalen Duren,DET,15,24.8,8.8,3.7,5.0,74.7,0.0,0.0,0.0,1.3,2.5,52.6,3.7,6.7,10.4,2.5,0.3,1.1,1.7,19.0
164,Moses Moody,GSW,14,16.4,8.8,3.0,6.4,46.7,1.6,3.9,42.6,1.1,1.6,69.6,0.4,1.8,2.2,1.0,0.3,0.2,1.1,7.5
165,Anthony Black,ORL,17,24.9,8.7,3.0,7.2,41.8,0.8,2.6,29.5,1.9,2.7,71.7,0.6,2.2,2.8,4.5,0.9,0.8,2.3,10.6
165,Georges Niang,CLE,17,19.9,8.7,3.4,6.9,48.3,1.8,4.6,38.0,0.2,0.3,80.0,0.6,2.9,3.5,1.2,0.5,0.2,0.9,9.5
167,Dereck Lively II,DAL,11,22.5,8.6,3.6,5.3,69.0,0.0,0.0,0.0,1.4,2.5,53.6,2.6,4.2,6.8,2.3,0.6,1.5,1.2,15.8
