Team Name,Achievement Type,Year
WASHINGTON WIZARDS,Division Titles,1974
WASHINGTON WIZARDS,Division Titles,1975
WASHINGTON WIZARDS,Division Titles,1979
WASHINGTON WIZARDS,Division Titles,2017
DENVER NUGGETS,Championship Wins,2023
DENVER NUGGETS,Conference Titles,2023
DENVER NUGGETS,Division Titles,1977
DENVER NUGGETS,Division Titles,1978
DENVER NUGGETS,Division Titles,1985
DENVER NUGGETS,Division Titles,1988
DENVER NUGGETS,Division Titles,2006
DENVER NUGGETS,Division Titles,2009
DENVER NUGGETS,Division Titles,2010
DENVER NUGGETS,Division Titles,2019
DENVER NUGGETS,Division Titles,2020
DENVER NUGGETS,Division Titles,2023
MINNESOTA TIMBERWOLVES,Division Titles,2004
OKLAHOMA CITY THUNDER,Championship Wins,1979
OKLAHOMA CITY THUNDER,Conference Titles,1978
OKLAHOMA CITY THUNDER,Conference Titles,1979
OKLAHOMA CITY THUNDER,Conference Titles,1996
OKLAHOMA CITY THUNDER,Conference Titles,2012
OKLAHOMA CITY THUNDER,Conference Titles,2024
OKLAHOMA CITY THUNDER,Division Titles,1979
OKLAHOMA CITY THUNDER,Division Titles,1994
OKLAHOMA CITY THUNDER,Division Titles,1996
OKLAHOMA CITY THUNDER,Division Titles,1997
OKLAHOMA CITY THUNDER,Division Titles,1998
OKLAHOMA CITY THUNDER,Division Titles,2005
OKLAHOMA CITY THUNDER,Division Titles,2011
OKLAHOMA CITY THUNDER,Division Titles,2012
OKLAHOMA CITY THUNDER,Division Titles,2013
OKLAHOMA CITY THUNDER,Division Titles,2014
OKLAHOMA CITY THUNDER,Division Titles,2016
OKLAHOMA CITY THUNDER,Division Titles,2024
PORTLAND TRAIL BLAZERS,Championship Wins,1977
PORTLAND TRAIL BLAZERS,Conference Titles,1977
PORTLAND TRAIL BLAZERS,Conference Titles,1990
PORTLAND TRAIL BLAZERS,Conference Titles,1992
PORTLAND TRAIL BLAZERS,Division Titles,1978
PORTLAND TRAIL BLAZERS,Division Titles,1991
PORTLAND TRAIL BLAZERS,Division Titles,1992
PORTLAND TRAIL BLAZERS,Division Titles,2015
PORTLAND TRAIL BLAZERS,Division Titles,2018
UTAH JAZZ,Conference Titles,1997
UTAH JAZZ,Conference Titles,1998
UTAH JAZZ,Division Titles,1984
UTAH JAZZ,Division Titles,1989
UTAH JAZZ,Division Titles,1992
UTAH JAZZ,Division Titles,1997
UTAH JAZZ,Division Titles,1998
UTAH JAZZ,Division Titles,1999
UTAH JAZZ,Division Titles,2000
UTAH JAZZ,Division Titles,2007
UTAH JAZZ,Division Titles,2008
UTAH JAZZ,Division Titles,2017
UTAH JAZZ,Division Titles,2021
UTAH JAZZ,Division Titles,2022
GOLDEN STATE WARRIORS,Championship Wins,1947
GOLDEN STATE WARRIORS,Championship Wins,1956
GOLDEN STATE WARRIORS,Championship Wins,1975
GOLDEN STATE WARRIORS,Championship Wins,2015
GOLDEN STATE WARRIORS,Championship Wins,2017
GOLDEN STATE WARRIORS,Championship Wins,2018
GOLDEN STATE WARRIORS,Championship Wins,2022
GOLDEN STATE WARRIORS,Conference Titles,1975
GOLDEN STATE WARRIORS,Conference Titles,2015
GOLDEN STATE WARRIORS,Conference Titles,2016
GOLDEN STATE WARRIORS,Conference Titles,2017
GOLDEN STATE WARRIORS,Conference Titles,2018
GOLDEN STATE WARRIORS,Conference Titles,2019
GOLDEN STATE WARRIORS,Conference Titles,2022
GOLDEN STATE WARRIORS,Division Titles,1948
GOLDEN STATE WARRIORS,Division Titles,1951
GOLDEN STATE WARRIORS,Division Titles,1956
GOLDEN STATE WARRIORS,Division Titles,1964
GOLDEN STATE WARRIORS,Division Titles,1967
GOLDEN STATE WARRIORS,Division Titles,1975
GOLDEN STATE WARRIORS,Division Titles,1976
GOLDEN STATE WARRIORS,Division Titles,2015
GOLDEN STATE WARRIORS,Division Titles,2016
GOLDEN STATE WARRIORS,Division Titles,2017
GOLDEN STATE WARRIORS,Division Titles,2018
GOLDEN STATE WARRIORS,Division Titles,2019
LA CLIPPERS,Division Titles,2013
LA CLIPPERS,Division Titles,2014
LA CLIPPERS,Division Titles,2024
LOS ANGELES LAKERS,Championship Wins,1949
LOS ANGELES LAKERS,Championship Wins,1950
LOS ANGELES LAKERS,Championship Wins,1952
LOS ANGELES LAKERS,Championship Wins,1953
LOS ANGELES LAKERS,Championship Wins,1954
LOS ANGELES LAKERS,Championship Wins,1972
LOS ANGELES LAKERS,Championship Wins,1980
LOS ANGELES LAKERS,Championship Wins,1982
LOS ANGELES LAKERS,Championship Wins,1985
LOS ANGELES LAKERS,Championship Wins,1987
LOS ANGELES LAKERS,Championship Wins,1988
LOS ANGELES LAKERS,Championship Wins,2000
LOS ANGELES LAKERS,Championship Wins,2001
LOS ANGELES LAKERS,Championship Wins,2002
LOS ANGELES LAKERS,Championship Wins,2009
LOS ANGELES LAKERS,Championship Wins,2010
LOS ANGELES LAKERS,Championship Wins,2020
LOS ANGELES LAKERS,Conference Titles,1972
LOS ANGELES LAKERS,Conference Titles,1973
LOS ANGELES LAKERS,Conference Titles,1980
LOS ANGELES LAKERS,Conference Titles,1982
LOS ANGELES LAKERS,Conference Titles,1983
LOS ANGELES LAKERS,Conference Titles,1984
LOS ANGELES LAKERS,Conference Titles,1985
LOS ANGELES LAKERS,Conference Titles,1987
LOS ANGELES LAKERS,Conference Titles,1988
LOS ANGELES LAKERS,Conference Titles,1989
LOS ANGELES LAKERS,Conference Titles,1991
LOS ANGELES LAKERS,Conference Titles,2000
LOS ANGELES LAKERS,Conference Titles,2001
LOS ANGELES LAKERS,Conference Titles,2002
LOS ANGELES LAKERS,Conference Titles,2004
LOS ANGELES LAKERS,Conference Titles,2008
LOS ANGELES LAKERS,Conference Titles,2009
LOS ANGELES LAKERS,Conference Titles,2010
LOS ANGELES LAKERS,Conference Titles,2020
LOS ANGELES LAKERS,Division Titles,1950
LOS ANGELES LAKERS,Division Titles,1951
LOS ANGELES LAKERS,Division Titles,1953
LOS ANGELES LAKERS,Division Titles,1954
LOS ANGELES LAKERS,Division Titles,1962
LOS ANGELES LAKERS,Division Titles,1963
LOS ANGELES LAKERS,Division Titles,1965
LOS ANGELES LAKERS,Division Titles,1966
LOS ANGELES LAKERS,Division Titles,1969
LOS ANGELES LAKERS,Division Titles,1971
LOS ANGELES LAKERS,Division Titles,1972
LOS ANGELES LAKERS,Division Titles,1973
LOS ANGELES LAKERS,Division Titles,1974
LOS ANGELES LAKERS,Division Titles,1977
LOS ANGELES LAKERS,Division Titles,1980
LOS ANGELES LAKERS,Division Titles,1982
LOS ANGELES LAKERS,Division Titles,1983
LOS ANGELES LAKERS,Division Titles,1984
LOS ANGELES LAKERS,Division Titles,1985
LOS ANGELES LAKERS,Division Titles,1986
